"herbivory.desirability","infection.desirability","direct_sown_sla.desirability","diversity.desirability"
4.68,1.6,20.92078116,0.774504283456711
4.64,2.9,20.92078116,0.823208919376267
5.28,0.25,20.92078116,0.989183901050978
3.833684211,2.9,20.92078116,1.05203357686964
2.68,0.4,33.32426724,0
2.48,0.3,33.32426724,0
2.76,0.5,33.32426724,0
1.894736842,0.3,33.32426724,0
0,1.1,22.04011337,1.00156484470225
0,1.3,22.04011337,0.936215686847402
0,1.5,22.04011337,1.3054616844517
0,2.5,22.04011337,0.58549686125363
2.64,2.25,26.18366465,0.98854640299096
1.2,2,26.18366465,0.626036077515304
1.56,2.13,26.18366465,1.10639152234354
3,2.45,26.18366465,0.649278321327381
0.4,0.8,21.41923304,0
0.28,1,21.41923304,0
0.64,0.2,21.41923304,0
1.04,0.7,21.41923304,0
1.24,1.15,17.70045579,0.944378708999244
2.32,1.8,17.70045579,0.69539553084017
4.12,2.3,17.70045579,0.862799324673435
2.166666667,1,17.70045579,0.619205047209067
1.68,0,20.18788567,0
1.52,0.8,20.18788567,0
1.28,0.9,20.18788567,0
1.16,0.6,20.18788567,0
0,5.5,18.87338246,1.35725964343523
0,4.37,18.87338246,1.67432641219642
0,4.55,18.87338246,1.39934292473181
0,2.1,18.87338246,1.64583737729316
0.64,0.5,14.01853232,0
0.08,0.35,14.01853232,0
0.48,0.05,14.01853232,0
0.8,0.6,14.01853232,0
0,1.81,25.92116188,1.09050734345859
0,1.45,25.92116188,1.29421558637705
0,4.9,25.92116188,1.53197332452101
0,4.35,25.92116188,1.35014944114466
