"herbivory.desirability","infection.desirability","direct_sown_sla.desirability","diversity.desirability"
0,5.75,21.50242169,1.34957126404801
0,3.35,21.50242169,1.13270548906879
0,3.85,21.50242169,1.45067136630865
0,5.08,21.50242169,1.27298834099835
2.48,0.8,19.56330635,1.02965301406457
3.2,1.5,19.56330635,0.544283733968017
1.88,0.7,19.56330635,1.14448796326086
2.895555556,1.2,19.56330635,0.856840995039472
1.16,0.9,33.32426724,0
1.92,0.5,33.32426724,0
2.68,0.4,33.32426724,0
2.48,0.3,33.32426724,0
0,1.65,26.45443042,1.14196432218468
0,0.5,26.45443042,0.914433629012267
0,3,26.45443042,1.15199766969354
0,3.29,26.45443042,1.14797567799158
0,2,22.90582536,0.636514168063764
0,1.25,22.90582536,0.863019608194508
0,1.9,22.90582536,0.661563238157982
0,2,22.90582536,0.887211002460701
1.92,2.7,21.39443511,0.440880670857628
2.64,1.7,21.39443511,1.29131739329696
2.08,2.3,21.39443511,0.800805285644335
2.72,3,21.39443511,1.32966134931686
2.84,3.4,22.13740542,1.46526211274624
1.615555556,2.65,22.13740542,1.42749336745039
2.329411765,4.3,22.13740542,0.731142018211504
2.08,3.55,22.13740542,1.62218045062493
0.52,0.15,22.51774405,0
0.32,0.5,22.51774405,0
0.32,0.6,22.51774405,0
0.28,0.9,22.51774405,0
2.88,0.8,24.18805459,0.885914333746555
1.4,2.25,24.18805459,0.730391219905423
1.6,1.45,24.18805459,0.908326597984191
3.4,1.15,25.38613119,0.923840705874117
1.12,2.15,24.32702197,0.524094006638012
2.08,1.53,24.32702197,0.495352969057023
2.28,2.33,24.32702197,0.760092831910692
1.6,2.2,24.32702197,0.514653165707194
