"Cj.action","Dg.action","Sp.action","To.action","Dc.action","Lp.action","Pm.action","Ao.action","Be.action","Cb.action","Hl.action","Hp.action","Ra.action","Pt.action","Fr.action","Pg.action","Ga.action","Am.action","nitrogen.initial","fungicide.initial","Cj.outcome","Dg.outcome","Sp.outcome","To.outcome","Dc.outcome","Lp.outcome","Pm.outcome","Ao.outcome","Be.outcome","Cb.outcome","Hl.outcome","Hp.outcome","Ra.outcome","Pt.outcome","Fr.outcome","Pg.outcome","Ga.outcome","Am.outcome","herbivory.desirability","infection.desirability","direct_sown_sla.desirability","diversity.desirability","state_idx"
1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0.612244898,0,0,0,0,0,0,0,0,0,0,0.102040816,0,0,0.030612245,0,0,0.255102041,0,2.6,16.53690177,0.988495466807343,149505
1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0.3,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0.12,0,0,0.45,0,0.55,16.53690177,1.24018063664824,149505
1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0.458715596,0,0,0,0,0,0,0,0,0,0,0.064220183,0,0,0.018348624,0,0,0.458715596,0,1.5,16.53690177,0.964650946634436,149505
1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0.75,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0.08,0,0,0.15,0,2.3,16.53690177,0.780628303724941,149505
0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0.023529412,0,0,0.023529412,0,0,0,0.058823529,0.529411765,0.035294118,0.023529412,0.011764706,0,0,0.294117647,0,0,4.536666667,3.1,22.31607622,1.29825576233832,40722
0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0.231481481,0,0,0,0,0,0,0,0.064814815,0.462962963,0.138888889,0.009259259,0,0,0.092592593,0,0,3.4,3.35,22.31607622,1.41045510764303,40722
0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0.027777778,0,0,0.041666667,0,0,0,0.138888889,0.486111111,0.055555556,0.041666667,0,0,0,0.208333333,0,0,2.210909091,6.44,22.31607622,1.4765698486303,40722
0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0.02970297,0,0,0.01980198,0,0,0,0.03960396,0.396039604,0.059405941,0.158415842,0.03960396,0,0,0.257425743,0,0,3.29,4.95,22.31607622,1.61363387498538,40722
0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0.361445783,0,0.421686747,0,0,0,0,0,0.060240964,0.072289157,0,0,0,0,0,0.084337349,0,3.32,1.95,23.68819949,1.29965722225798,75274
0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0.1,0,0.01,0,0,0,0,0,0.05,0.03,0,0,0.01,0,0,0.8,0,2.384615385,2.8,23.68819949,0.755860104667833,75274
