"Cj.action","Dg.action","Sp.action","To.action","Dc.action","Lp.action","Pm.action","Ao.action","Be.action","Cb.action","Hl.action","Hp.action","Ra.action","Pt.action","Fr.action","Pg.action","Ga.action","Am.action","nitrogen.initial","fungicide.initial","Cj.outcome","Dg.outcome","Sp.outcome","To.outcome","Dc.outcome","Lp.outcome","Pm.outcome","Ao.outcome","Be.outcome","Cb.outcome","Hl.outcome","Hp.outcome","Ra.outcome","Pt.outcome","Fr.outcome","Pg.outcome","Ga.outcome","Am.outcome","herbivory.desirability","infection.desirability","direct_sown_sla.desirability","diversity.desirability","state_idx"
0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0.85106383,0,0,0,0,0,0,0,0,0.085106383,0,0,0.063829787,0,0,0,0,0,2,24.99139887,0.522569037854065,9218
0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.689655172,0,0,0,0,0,0,0,0,0.24137931,0,0,0.068965517,0,0,0,0,0,2,24.99139887,0.78376786825374,9218
0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0.779220779,0,0,0,0,0,0,0,0,0.12987013,0,0,0.090909091,0,0,0,0,0,1.25,24.99139887,0.677469114403073,9218
0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0.875,0,0,0,0,0,0,0,0,0.1,0,0,0.025,0,0,0,0,0,2.1,24.99139887,0.43932046419871,9218
0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.010204082,0,0.969387755,0,0.010204082,0,0,0,0,0,0,0,0.010204082,0,0,0,0,1.8,3.48,26.18366465,0.170494986590018,8234
0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.042553191,0,0.212765957,0,0.638297872,0,0,0,0,0,0,0,0.106382979,0,0,0,0,2.64,2.25,26.18366465,0.98854640299096,8234
0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.625,0,0,0,0.277777778,0,0,0,0,0,0,0,0.097222222,0,0,0,0,2.941818182,1.8,26.18366465,0.876168499975381,8234
0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.020618557,0,0.103092784,0,0.824742268,0,0,0,0,0,0,0,0.051546392,0,0,0,0,1.2,2,26.18366465,0.626036077515304,8234
0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.35,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0.15,0,0,3.56,1.8,19.30859596,1.34515292186736,34884
0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.434782609,0,0,0,0.173913043,0,0,0,0,0.130434783,0,0,0,0.260869565,0,0,2.88,2.8,19.30859596,1.28256282212088,34884
0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0.655737705,0,0,0,0.12295082,0,0,0,0,0.098360656,0,0,0,0.12295082,0,0,4.12,0.55,19.30859596,1.02022992602185,34884
0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.720720721,0,0,0,0.072072072,0,0,0,0,0.099099099,0,0,0,0.108108108,0,0,3.64,1.05,19.30859596,0.895175327721353,34884
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.36,0.1,12.80272186,0,131072
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.05,12.80272186,0,131072
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.16,0.9,12.80272186,0,131072
