"herbivory.desirability","infection.desirability","direct_sown_sla.desirability","diversity.desirability"
0,0.95,19.19464873,0.991387612326268
0,2.05,19.19464873,1.05563343314675
0,1,19.19464873,0.88595475272503
0,1.85,19.19464873,1.00709846526193
0,0.1,39.00905368,0
0.72,0.05,39.00905368,0
0.48,0.5,39.00905368,0
1,1,39.00905368,0
7.432124183,4.7,21.45168042,2.4083106830857
12.53934066,3.11,21.45168042,1.36642434100942
3.324848485,4.6,21.45168042,2.34890826252819
7.176623377,7.2,21.45168042,1.84049264616898
0,1.25,22.90582536,0.863019608194508
0,0.85,22.90582536,0.878525099546149
0,1.75,22.90582536,0.673011667009257
0,2,22.90582536,0.636514168063764
3.301818182,5.8,22.31607622,1.49639881244901
3.4,3.35,22.31607622,1.41045510764303
3.32,5.13,22.31607622,1.52523595596207
4.36,2.85,22.31607622,1.78983676449138
1.04,0.5,22.51774405,0
0.28,0.9,22.51774405,0
0.32,0.5,22.51774405,0
0.52,0.7,22.51774405,0
2.6,1.7,25.38613119,0.913621960434927
2.72,2.4,24.18805459,0.859967281443487
1.4,2.25,24.18805459,0.730391219905423
2.88,0.8,24.18805459,0.885914333746555
0,1.61,18.39855994,1.72379166782048
0,5.55,18.39855994,1.8742604868723
0,3.65,18.39855994,1.91187681079372
0,3.9,18.39855994,1.63715552785804
0,1.7,23.63660494,0.94289225430301
0,3.4,23.63660494,1.25501948283971
0,2.9,23.63660494,0.752110840079609
0,3.53,23.63660494,1.14868725959462
0,2.64,19.98974299,0.688250886411033
0,1.25,19.98974299,0.788870987750797
0,1.9,19.98974299,0.721190540105708
0,1.05,19.98974299,0.793159522510206
