"Cj.action","Dg.action","Sp.action","To.action","Dc.action","Lp.action","Pm.action","Ao.action","Be.action","Cb.action","Hl.action","Hp.action","Ra.action","Pt.action","Fr.action","Pg.action","Ga.action","Am.action"
0,0.696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.82625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,21.306555521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.682964860632071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.696,0.696,0,0,0,0,0,0.696,0
0,0,0,0,0,0,0,0,0,1.82625,1.82625,0,0,0,0,0,1.82625,0
0,0,0,0,0,0,0,0,0,21.306555521,21.306555521,0,0,0,0,0,21.306555521,0
0,0,0,0,0,0,0,0,0,0.682964860632071,0.682964860632071,0,0,0,0,0,0.682964860632071,0
0.696,0,0,0,0,0,0,0,0,0,0,0.696,0,0,0.696,0,0,0.696
1.82625,0,0,0,0,0,0,0,0,0,0,1.82625,0,0,1.82625,0,0,1.82625
21.306555521,0,0,0,0,0,0,0,0,0,0,21.306555521,0,0,21.306555521,0,0,21.306555521
0.682964860632071,0,0,0,0,0,0,0,0,0,0,0.682964860632071,0,0,0.682964860632071,0,0,0.682964860632071
0,0.696,0.696,0,0,0,0,0.696,0,0.696,0,0.696,0.696,0,0,0.696,0.696,0
0,1.82625,1.82625,0,0,0,0,1.82625,0,1.82625,0,1.82625,1.82625,0,0,1.82625,1.82625,0
0,21.306555521,21.306555521,0,0,0,0,21.306555521,0,21.306555521,0,21.306555521,21.306555521,0,0,21.306555521,21.306555521,0
0,0.682964860632071,0.682964860632071,0,0,0,0,0.682964860632071,0,0.682964860632071,0,0.682964860632071,0.682964860632071,0,0,0.682964860632071,0.682964860632071,0
0,0,0,0,0,0,0,0,0.696,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1.82625,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,21.306555521,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.682964860632071,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.696,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82625,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.306555521,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.682964860632071,0,0
0,0.696,0,0,0,0,0,0,0,0,0,0,0.696,0,0,0,0.696,0
0,1.82625,0,0,0,0,0,0,0,0,0,0,1.82625,0,0,0,1.82625,0
0,21.306555521,0,0,0,0,0,0,0,0,0,0,21.306555521,0,0,0,21.306555521,0
0,0.682964860632071,0,0,0,0,0,0,0,0,0,0,0.682964860632071,0,0,0,0.682964860632071,0
0.696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.82625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.306555521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.682964860632071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.696,0,0.696,0,0,0,0,0.696,0.696,0,0,0.696,0,0,0.696,0.696,0,0.696
1.82625,0,1.82625,0,0,0,0,1.82625,1.82625,0,0,1.82625,0,0,1.82625,1.82625,0,1.82625
21.306555521,0,21.306555521,0,0,0,0,21.306555521,21.306555521,0,0,21.306555521,0,0,21.306555521,21.306555521,0,21.306555521
0.682964860632071,0,0.682964860632071,0,0,0,0,0.682964860632071,0.682964860632071,0,0,0.682964860632071,0,0,0.682964860632071,0.682964860632071,0,0.682964860632071
0,0.696,0,0.696,0,0.696,0,0,0,0,0.696,0,0,0.696,0,0,0.696,0
0,1.82625,0,1.82625,0,1.82625,0,0,0,0,1.82625,0,0,1.82625,0,0,1.82625,0
0,21.306555521,0,21.306555521,0,21.306555521,0,0,0,0,21.306555521,0,0,21.306555521,0,0,21.306555521,0
0,0.682964860632071,0,0.682964860632071,0,0.682964860632071,0,0,0,0,0.682964860632071,0,0,0.682964860632071,0,0,0.682964860632071,0
