"herbivory.desirability","infection.desirability","direct_sown_sla.desirability","diversity.desirability"
0.79236866850462,0,31.52206501,0
0.31736866850462,0.31736866850462,31.52206501,0
0.31736866850462,0.31736866850462,31.52206501,0
0.79236866850462,0.79236866850462,31.52206501,0
2.815,2.815,20.42578065,1.16628823046684
10.32324248,0.31736866850462,20.42578065,1.16628823046684
2.815,1.56628823046684,20.42578065,1.56628823046684
2.815,1.16628823046684,20.42578065,0.79236866850462
0.31736866850462,0,10.32324248,0
0.31736866850462,0,10.32324248,0
0.31736866850462,0,10.32324248,0
0.31736866850462,0.79236866850462,10.32324248,0
2.815,1.56628823046684,31.52206501,0.31736866850462
1.56628823046684,1.16628823046684,31.52206501,0.79236866850462
2.815,0.79236866850462,31.52206501,0.31736866850462
1.56628823046684,1.16628823046684,31.52206501,0.79236866850462
0,10.32324248,20.42578065,1.56628823046684
0,10.32324248,20.42578065,1.56628823046684
0,10.32324248,20.42578065,1.56628823046684
0,2.815,20.42578065,1.56628823046684
0.79236866850462,0.79236866850462,10.32324248,0
0.79236866850462,0.31736866850462,10.32324248,0
0.79236866850462,0.31736866850462,10.32324248,0
0.79236866850462,0.79236866850462,10.32324248,0
2.815,1.56628823046684,31.52206501,0.79236866850462
1.16628823046684,2.815,31.52206501,0.79236866850462
2.815,0.79236866850462,31.52206501,0.79236866850462
1.56628823046684,1.56628823046684,31.52206501,0.79236866850462
2.815,2.815,20.42578065,0.79236866850462
1.56628823046684,1.16628823046684,20.42578065,0.79236866850462
1.16628823046684,1.56628823046684,20.42578065,0.31736866850462
2.815,0.79236866850462,20.42578065,0.31736866850462
0,10.32324248,20.42578065,1.56628823046684
0,2.815,20.42578065,1.16628823046684
0,10.32324248,20.42578065,1.56628823046684
0,10.32324248,20.42578065,2.815
0,10.32324248,31.52206501,1.16628823046684
0,1.56628823046684,31.52206501,1.16628823046684
0,10.32324248,31.52206501,1.56628823046684
0,10.32324248,31.52206501,1.16628823046684
