"herbivory.desirability","infection.desirability","direct_sown_sla.desirability","diversity.desirability"
2.96,4,20.92078116,0.806314928442706
3.04,0.7,20.92078116,0.708062826542737
5.28,0.25,20.92078116,0.989183901050978
4.64,2.9,20.92078116,0.823208919376267
0,3.58,24.82630578,1.18445668683687
0,5,24.82630578,1.26586725006847
0,2.8,24.82630578,0.892695545349471
0,1.63,24.82630578,1.50225065462112
0,2.9,18.05620292,1.34345609410782
0,4.3,18.05620292,1.89539150136884
0,4.99,18.05620292,1.53444772053172
0,2.45,18.05620292,1.66268598627552
3.29,4.95,22.31607622,1.61363387498538
3.4,3.35,22.31607622,1.41045510764303
3.32,5.13,22.31607622,1.52523595596207
4.536666667,3.1,22.31607622,1.29825576233832
3.48,1.5,19.26941218,1.39030167852414
3.96,3.5,19.26941218,1.27814248950678
3.5125,3.44,19.26941218,1.15531266825628
5.44,2.91,19.26941218,1.32975427548119
0,3.4,23.63660494,1.25501948283971
0,1.7,23.63660494,0.94289225430301
0,3.53,23.63660494,1.14868725959462
0,3.28,23.63660494,0.771252726221059
5.084210526,0.9,21.37988027,1.39501651390659
5.743157895,4.06,21.37988027,1.62015810077521
6.51,1.75,21.37988027,1.24203149261038
4.938823529,3.15,21.37988027,1.6224242494976
0.88,0.8,14.01853232,0
0.36,0.05,14.01853232,0
0.08,0.35,14.01853232,0
0.64,0.5,14.01853232,0
0,4.45,21.6688721,1.41139524180483
0,1.85,21.6688721,1.5524331785882
0,1.9,21.6688721,1.32375970256088
0,3.53,21.6688721,1.34065022871793
0,4.7,25.92116188,1.30704253120349
0,4.35,25.92116188,1.35014944114466
0,1.45,25.92116188,1.29421558637705
0,1.81,25.92116188,1.09050734345859
