"herbivory.desirability","infection.desirability","direct_sown_sla.desirability","diversity.desirability"
0.68,0,39.00905368,0
0.48,0.2,39.00905368,0
0.48,0.5,39.00905368,0
1,1,39.00905368,0
2.88,2.8,19.30859596,1.28256282212088
4.12,0.55,19.30859596,1.02022992602185
3.56,1.8,19.30859596,1.34515292186736
3.64,1.05,19.30859596,0.895175327721353
0.12,0.4,12.80272186,0
0,0.05,12.80272186,0
0.32,0,12.80272186,0
0.16,0.9,12.80272186,0
2.56,1.8,26.38518008,0.569474674018481
1.64,1.25,26.38518008,0.851669281154002
2.68,1,26.38518008,0.478362627332832
1.68,1.3,26.38518008,0.623611575977349
0,4.35,24.03507634,1.51230570722583
0,4.02,24.03507634,1.55091092620662
0,5,24.03507634,1.50300725874023
0,2.07,24.03507634,1.73392447774804
1.28,0.9,16.81648496,0
0.6,1,16.81648496,0
0.08,0.2,16.81648496,0
0.76,0.5,16.81648496,0
3,1.5,25.38613119,0.829511301943977
1.32,2.57,25.38613119,0.851584254796745
2.88,0.8,24.18805459,0.885914333746555
1.6,1.45,24.18805459,0.908326597984191
2.32,2.1,18.41592412,0.65104176437463
1.4,1.05,18.41592412,0.655449355367375
1.16,1.6,18.41592412,0.415217758345386
2.24,0.8,18.41592412,0.510929635357191
0,4.8,21.28028124,1.55186759508846
0,3.3,21.28028124,1.10328860958401
0,4.89,21.28028124,1.50069975302349
0,5.17,21.28028124,1.95232184735562
0,4.7,25.92116188,1.30704253120349
0,1.45,25.92116188,1.29421558637705
0,4.9,25.92116188,1.53197332452101
0,5.3,25.92116188,1.05366653408354
