"herbivory.desirability","infection.desirability","direct_sown_sla.desirability","diversity.desirability"
0,0.55,20.77531408,0.849783490992753
0,1.6,20.77531408,0.569474674018481
0,1.4,20.77531408,0.721894260037249
0,0.73,20.77531408,0.939764460586183
0,1.9,26.45443042,1.11200427825642
0,1.65,26.45443042,1.14196432218468
0,2.23,26.45443042,0.823041370385619
0,0.5,26.45443042,0.914433629012267
3.24,2.05,26.18366465,0.878362119040435
2.64,2.25,26.18366465,0.98854640299096
1.56,2.13,26.18366465,1.10639152234354
1.2,2,26.18366465,0.626036077515304
3,1.5,19.30859596,1.25123091033198
4.12,0.55,19.30859596,1.02022992602185
2.32,1.25,19.30859596,1.31942227288753
3.56,2,19.30859596,1.26299659540554
3.32,5.13,22.31607622,1.52523595596207
3.29,4.95,22.31607622,1.61363387498538
3.4,3.35,22.31607622,1.41045510764303
4.536666667,3.1,22.31607622,1.29825576233832
1.56,3.5,21.39443511,0.967963909339486
0.84,2.3,21.39443511,1.10100497565275
2.72,3,21.39443511,1.32966134931686
2.64,1.7,21.39443511,1.29131739329696
3.04,2.48,17.88473764,1.57115352607325
3.8,2.2,17.88473764,1.36757571693879
5.566153846,4,17.88473764,1.57754091182153
3.08,2.05,17.88473764,1.07309390009504
2.895294118,2.1,23.68819949,1.10237066444987
2.493333333,4,23.68819949,1.42436917442834
4.48,4.84,23.68819949,1.36143655260054
3.32,1.95,23.68819949,1.29965722225798
1.04,1,20.18788567,0
1.16,0.6,20.18788567,0
1.52,0.8,20.18788567,0
1.28,0.9,20.18788567,0
0,2.05,21.48947191,1.15033524900372
0,5.7,21.48947191,1.01859067886849
0,3.65,21.48947191,1.12217849470659
0,5.6,21.48947191,1.57655776029077
4.08,3.15,22.97760119,1.37083294940141
3.08,4.33,22.97760119,1.3291654575745
3.32,4.5,22.97760119,1.37781950803903
3.506666667,3.35,22.97760119,1.10456854236011
0.48,0.05,14.01853232,0
0.4,0.8,14.01853232,0
0.88,0.8,14.01853232,0
0.36,0.05,14.01853232,0
0,5.1,21.6688721,1.11756084165214
0,1.85,21.6688721,1.5524331785882
0,3.53,21.6688721,1.34065022871793
0,4.45,21.6688721,1.41139524180483
1.36,0.8,19.18886709,0
1.16,0,19.18886709,0
2.08,0.2,19.18886709,0
2.08,0.2,19.18886709,0
