"herbivory.desirability","infection.desirability","direct_sown_sla.desirability","diversity.desirability"
0.44,0.55,22.74446252,0
0.72,0.9,22.74446252,0
0.92,0.7,22.74446252,0
1.12,0.6,22.74446252,0
0,3,19.96523589,0.523302145510465
0,0.8,19.96523589,0.730391219905423
0,2.71,19.96523589,0.900955307538137
0,1.9,19.96523589,0.722223879757458
0,5,24.82630578,1.26586725006847
0,4.5,24.82630578,1.07166198408571
0,1.63,24.82630578,1.50225065462112
0,2.8,24.82630578,0.892695545349471
0.84,0.85,23.01370794,0.776214103806934
0.68,1.5,23.01370794,0.823959215807935
1.84,1.2,23.01370794,0.628730364217338
1.68,2.05,23.01370794,0.58628440968132
1.4,0.9,19.56330635,0.569474674018481
3.2,1.5,19.56330635,0.544283733968017
2.48,0.8,19.56330635,1.02965301406457
1.88,0.7,19.56330635,1.14448796326086
0,2.23,26.45443042,0.823041370385619
0,1.95,26.45443042,1.28992198260901
0,0.5,26.45443042,0.914433629012267
0,1.65,26.45443042,1.14196432218468
0,0.55,16.53690177,1.24018063664824
0,1.9,16.53690177,0.781324343403114
0,3.5,16.53690177,0.989202688369668
0,2.6,16.53690177,0.988495466807343
0,0.55,18.53308535,0.940028482186193
0,0.25,18.53308535,0.694010280660442
0,1.41,18.53308535,0.476395713039025
0,1.9,18.53308535,0.820914132757623
2.32,1.8,17.70045579,0.69539553084017
1.24,1.15,17.70045579,0.944378708999244
4.145714286,1.9,17.70045579,0.632369472690703
2.6,2.33,17.70045579,0.883541951000075
1.08,1,21.56190935,0
0.44,1,21.56190935,0
1.16,1,21.56190935,0
1.2,0.35,21.56190935,0
0,3.9,18.39855994,1.63715552785804
0,5.52,18.39855994,1.45119878989969
0,1.61,18.39855994,1.72379166782048
0,2.65,18.39855994,1.04567786518862
0,5.6,25.75462712,1.25458109958973
0,2.5,25.75462712,1.51523562657503
0,5.55,25.75462712,1.50846061460511
0,3.48,25.75462712,1.43010265830211
3.8,4.6,22.97760119,1.23605293485375
4.8,3.1,22.97760119,1.50004099515828
3.506666667,3.35,22.97760119,1.10456854236011
4.2,4.36,22.97760119,1.31273761779474
3.342857143,2.25,24.67848663,1.21663679903095
6.04,3.8,24.67848663,0.921173512953151
3.28,4.7,24.67848663,1.53845603906785
2.84,4.15,24.67848663,0.970260538051401
