"herbivory.desirability","infection.desirability","direct_sown_sla.desirability","diversity.desirability"
0,2,24.99139887,0.522569037854065
0,1.7,24.99139887,0.114665282562797
0,1.95,24.99139887,0.882310925208223
0,1.25,24.99139887,0.677469114403073
0,1.9,26.45443042,1.11200427825642
0,2.23,26.45443042,0.823041370385619
0,2.8,26.45443042,1.17036147154922
0,3,26.45443042,1.15199766969354
3.24,2.05,26.18366465,0.878362119040435
1.36,1.25,26.18366465,1.0855554362296
1.8,3.48,26.18366465,0.170494986590018
3,2.45,26.18366465,0.649278321327381
3.56,2,19.30859596,1.26299659540554
3.64,1.05,19.30859596,0.895175327721353
4.12,0.55,19.30859596,1.02022992602185
2.32,1.25,19.30859596,1.31942227288753
0,2,22.90582536,0.887211002460701
0,0.85,22.90582536,0.878525099546149
0,2.35,22.90582536,0.740285311908494
0,1.25,22.90582536,0.863019608194508
0,4.29,19.09911541,1.58113532329343
0,4.8,19.09911541,1.53159519334967
0,4.4,19.09911541,1.74489406880343
0,2.35,19.09911541,1.43365287727555
1.615555556,2.65,22.13740542,1.42749336745039
4.4,5.6,22.13740542,1.47130203143541
4.011764706,2.85,22.13740542,0.891256997606116
2.329411765,4.3,22.13740542,0.731142018211504
3.64,4.17,17.75986031,1.67532855823164
4.36,3.2,17.75986031,1.64001036885442
4.284444444,3.9,17.75986031,1.58864361104195
3.28,2.12,17.75986031,1.16989923686802
1.16,1,21.56190935,0
1.72,1,21.56190935,0
0.44,1,21.56190935,0
1.24,1,21.56190935,0
3.12,3.15,18.95343909,1.32554045390292
2.84,1.05,18.95343909,1.79821738573635
3.9075,3.45,18.95343909,1.66417506229808
4.475555556,3.8,18.95343909,1.62862096988464
0.56,0.1,22.50229612,0
0.76,1,22.50229612,0
1.12,1,22.50229612,0
1.2,0.8,22.50229612,0
0,2.05,21.48947191,1.15033524900372
0,5.6,21.48947191,1.57655776029077
0,3.05,21.48947191,1.29202159522219
0,5.2,21.48947191,1.1535830226978
1.36,0.75,20.76012964,1.16017233479898
1.2,2.15,20.76012964,1.14299982143208
2.1,2.9,20.76012964,0.976453147323353
2.08,1.15,20.76012964,0.683694559124711
3.342857143,2.25,24.67848663,1.21663679903095
2.08,4.15,24.67848663,1.41735637455967
2.16,1,24.67848663,1.21559006159568
2.84,4.15,24.67848663,0.970260538051401
