"herbivory.desirability","infection.desirability","direct_sown_sla.desirability","diversity.desirability"
1.52,1,22.74446252,0
0.92,0.7,22.74446252,0
1.12,0.6,22.74446252,0
0.44,0.55,22.74446252,0
10.26666667,3.1,21.45168042,2.41018808723691
10.95666667,9.12,21.45168042,2.20985164095014
4.770238095,9.03,21.45168042,2.33919698618876
9.666969697,9.25,21.45168042,1.7791912165044
0,1.5,16.53690177,0.964650946634436
0,0.55,16.53690177,1.24018063664824
0,1.9,16.53690177,0.781324343403114
0,0.7,16.53690177,0.84688840363796
3.72,4.3,23.04708488,1.45014088448307
5.52,5.2,23.04708488,1.38989018959825
2.08,2.45,23.04708488,1.58024017528341
4,2.4,23.04708488,1.33560313488055
1.92,2.7,21.39443511,0.440880670857628
2.72,3,21.39443511,1.32966134931686
0.84,2.3,21.39443511,1.10100497565275
1.56,3.5,21.39443511,0.967963909339486
2,1.05,17.70045579,0.814748660883731
2.6,2.33,17.70045579,0.883541951000075
4.12,2.3,17.70045579,0.862799324673435
4.145714286,1.9,17.70045579,0.632369472690703
1.24,1,16.81648496,0
1.28,0.9,16.81648496,0
0.96,0.35,16.81648496,0
0.08,0.2,16.81648496,0
0.16,0.35,18.06901948,0.944601248027364
1.32,0.4,18.06901948,0.971998004019771
1.126666667,3.4,18.06901948,0.553829523814207
0.6,1,18.06901948,0.51373721567937
0.32,0.6,22.51774405,0
0.28,0.9,22.51774405,0
0.24,0.6,22.51774405,0
0.48,0.5,22.51774405,0
0,1.05,19.98974299,0.793159522510206
0,2.64,19.98974299,0.688250886411033
0,1.9,19.98974299,0.721190540105708
0,2.5,19.98974299,0.724763695800018
