"Cj.action","Dg.action","Sp.action","To.action","Dc.action","Lp.action","Pm.action","Ao.action","Be.action","Cb.action","Hl.action","Hp.action","Ra.action","Pt.action","Fr.action","Pg.action","Ga.action","Am.action","nitrogen.initial","fungicide.initial","Cj.outcome","Dg.outcome","Sp.outcome","To.outcome","Dc.outcome","Lp.outcome","Pm.outcome","Ao.outcome","Be.outcome","Cb.outcome","Hl.outcome","Hp.outcome","Ra.outcome","Pt.outcome","Fr.outcome","Pg.outcome","Ga.outcome","Am.outcome","herbivory.desirability","infection.desirability","direct_sown_sla.desirability","diversity.desirability","state_idx"
1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0.526315789,0,0.157894737,0,0,0,0.126315789,0.031578947,0.052631579,0,0,0,0,0,0.052631579,0.052631579,0,0,4.04,3.86,19.10541539,1.46463280033907,49621
1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0.436893204,0,0.174757282,0,0.019417476,0,0.048543689,0.009708738,0.048543689,0,0,0,0,0,0.194174757,0.067961165,0,0,3.73,3,19.10541539,1.58285332146323,49621
1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0.291262136,0,0.029126214,0,0.009708738,0,0.058252427,0.009708738,0.009708738,0,0,0,0,0,0.009708738,0.582524272,0,0,5.638181818,4,19.10541539,1.12266113767005,49621
1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0.153153153,0,0,0,0.054054054,0,0.135135135,0.018018018,0.009009009,0,0,0,0,0,0.09009009,0.540540541,0,0,3.598095238,1.2,19.10541539,1.37972159059065,49621
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.48,0.6,33.32426724,0,4096
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.68,0.1,33.32426724,0,4096
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.894736842,0.3,33.32426724,0,4096
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.48,0.3,33.32426724,0,4096
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.04950495,0.03960396,0.079207921,0.059405941,0.01980198,0.01980198,0.178217822,0.00990099,0.00990099,0.148514851,0.01980198,0,0.00990099,0.01980198,0.099009901,0.099009901,0.118811881,0.01980198,7.67047619,8.25,21.45168042,2.47226948208788,262143
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.198019802,0.03960396,0.069306931,0.00990099,0.00990099,0.01980198,0.069306931,0.00990099,0.02970297,0,0.01980198,0.03960396,0,0,0.02970297,0.108910891,0,0.346534653,11.09166667,7.73,21.45168042,2.05644689996765,262143
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.02247191,0.011235955,0.280898876,0.04494382,0,0,0.056179775,0.011235955,0.02247191,0.02247191,0.011235955,0.056179775,0,0.02247191,0.02247191,0.078651685,0.056179775,0.280898876,10.78333333,11.38,21.45168042,2.11578939923797,262143
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.614035088,0.043859649,0.00877193,0.043859649,0,0.01754386,0.026315789,0,0,0,0.175438596,0.00877193,0.01754386,0.01754386,0,0,0,0.026315789,12.53934066,3.11,21.45168042,1.36642434100942,262143
1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0.458715596,0,0,0,0,0,0,0,0,0,0,0.064220183,0,0,0.018348624,0,0,0.458715596,0,1.5,16.53690177,0.964650946634436,149505
1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0.612244898,0,0,0,0,0,0,0,0,0,0,0.102040816,0,0,0.030612245,0,0,0.255102041,0,2.6,16.53690177,0.988495466807343,149505
1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0.3,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0.12,0,0,0.45,0,0.55,16.53690177,1.24018063664824,149505
1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0.75,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0.08,0,0,0.15,0,2.3,16.53690177,0.780628303724941,149505
0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.042553191,0,0.212765957,0,0.638297872,0,0,0,0,0,0,0,0.106382979,0,0,0,0,2.64,2.25,26.18366465,0.98854640299096,8234
0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.476190476,0,0.011904762,0,0.476190476,0,0,0,0,0,0,0,0.035714286,0,0,0,0,3.24,2.05,26.18366465,0.878362119040435,8234
0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.020618557,0,0.103092784,0,0.824742268,0,0,0,0,0,0,0,0.051546392,0,0,0,0,1.2,2,26.18366465,0.626036077515304,8234
0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.625,0,0,0,0.277777778,0,0,0,0,0,0,0,0.097222222,0,0,0,0,2.941818182,1.8,26.18366465,0.876168499975381,8234
1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0.619834711,0,0,0,0,0,0.123966942,0.008264463,0.041322314,0,0,0.041322314,0,0,0.099173554,0.066115702,0,0,0,2.25,19.09911541,1.26702068760785,51665
1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0.392156863,0,0,0,0,0,0.245098039,0.009803922,0.058823529,0,0,0.049019608,0,0,0.098039216,0.147058824,0,0,0,4.29,19.09911541,1.58113532329343,51665
1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0.454545455,0,0,0,0,0,0.227272727,0.053030303,0.022727273,0,0,0.075757576,0,0,0.015151515,0.151515152,0,0,0,2.95,19.09911541,1.48173681794764,51665
1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0.341880342,0,0,0,0,0,0.256410256,0.05982906,0.017094017,0,0,0.042735043,0,0,0.025641026,0.256410256,0,0,0,4.8,19.09911541,1.53159519334967,51665
1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0.094488189,0,0.118110236,0,0.023622047,0,0.196850394,0,0,0,0,0.05511811,0,0,0,0.118110236,0,0.393700787,0,2.45,18.05620292,1.66268598627552,166229
1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0.163934426,0,0.081967213,0,0,0,0.081967213,0,0.016393443,0,0,0.024590164,0,0,0,0.098360656,0,0.532786885,0,1.9,18.05620292,1.42859046485323,166229
1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0.129310345,0,0.017241379,0,0.00862069,0,0.025862069,0,0.017241379,0,0,0.068965517,0,0,0,0.043103448,0,0.689655172,0,2.2,18.05620292,1.11622785158209,166229
1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0.236220472,0,0.102362205,0,0,0,0.078740157,0,0.062992126,0,0,0.086614173,0,0,0,0.039370079,0,0.393700787,0,2.9,18.05620292,1.65468445538192,166229
0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0.05952381,0,0,0,0.011904762,0,0.035714286,0,0,0,0.892857143,0,0,1.92,2.7,21.39443511,0.440880670857628,35360
0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.145631068,0,0,0,0.077669903,0,0.67961165,0,0,0,0.097087379,0,0,1.56,3.5,21.39443511,0.967963909339486,35360
0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.064935065,0,0,0,0.090909091,0,0.519480519,0,0,0,0.324675325,0,0,0.84,2.3,21.39443511,1.10100497565275,35360
0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0.130434783,0,0,0,0.217391304,0,0.434782609,0,0,0,0.217391304,0,0,2.64,1.7,21.39443511,1.29131739329696,35360
0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0.043859649,0,0.087719298,0,0,0,0,0.131578947,0,0,0.035087719,0,0,0.701754386,0,5.702857143,0.95,24.8752922,0.983557203442857,78888
0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0.574712644,0,0.172413793,0,0,0,0,0.011494253,0,0,0.011494253,0,0,0.229885057,0,3.16,4.33,24.8752922,1.062039742547,78888
0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0.049019608,0,0.098039216,0,0,0,0,0.078431373,0,0.049019608,0.039215686,0,0,0.68627451,0,5.852631579,2.55,24.8752922,1.10834921834357,78888
0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0.038461538,0,0.115384615,0,0,0,0,0.038461538,0,0,0.076923077,0,0,0.730769231,0,1.628571429,3.2,24.8752922,0.926309157253026,78888
0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0.041322314,0,0,0,0,0.123966942,0,0,0,0.041322314,0,0,0,0,0.049586777,0,0.743801653,4.011764706,2.85,22.13740542,0.891256997606116,169154
