"Cj.action","Dg.action","Sp.action","To.action","Dc.action","Lp.action","Pm.action","Ao.action","Be.action","Cb.action","Hl.action","Hp.action","Ra.action","Pt.action","Fr.action","Pg.action","Ga.action","Am.action"
1.312604315125,1.312604315125,1.312604315125,1.312604315125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.72446428571429,2.72446428571429,2.72446428571429,2.72446428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.2516274614286,20.2516274614286,20.2516274614286,20.2516274614286,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.11148678682452,1.11148678682452,1.11148678682452,1.11148678682452,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1.312604315125,1.312604315125,1.312604315125,1.312604315125,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2.72446428571429,2.72446428571429,2.72446428571429,2.72446428571429,0,0,0,0,0,0,0,0,0,0,0
0,0,0,20.2516274614286,20.2516274614286,20.2516274614286,20.2516274614286,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1.11148678682452,1.11148678682452,1.11148678682452,1.11148678682452,0,0,0,0,0,0,0,0,0,0,0
0,1.312604315125,0,0,0,0,0,0,0,0,1.312604315125,0,0,1.312604315125,0,0,0,0
0,2.72446428571429,0,0,0,0,0,0,0,0,2.72446428571429,0,0,2.72446428571429,0,0,0,0
0,20.2516274614286,0,0,0,0,0,0,0,0,20.2516274614286,0,0,20.2516274614286,0,0,0,0
0,1.11148678682452,0,0,0,0,0,0,0,0,1.11148678682452,0,0,1.11148678682452,0,0,0,0
1.312604315125,0,1.312604315125,0,1.312604315125,0,0,1.312604315125,0,0,0,0,0,0,0,0,0,0
2.72446428571429,0,2.72446428571429,0,2.72446428571429,0,0,2.72446428571429,0,0,0,0,0,0,0,0,0,0
20.2516274614286,0,20.2516274614286,0,20.2516274614286,0,0,20.2516274614286,0,0,0,0,0,0,0,0,0,0
1.11148678682452,0,1.11148678682452,0,1.11148678682452,0,0,1.11148678682452,0,0,0,0,0,0,0,0,0,0
1.312604315125,1.312604315125,1.312604315125,1.312604315125,1.312604315125,1.312604315125,1.312604315125,1.312604315125,1.312604315125,1.312604315125,1.312604315125,1.312604315125,1.312604315125,1.312604315125,1.312604315125,1.312604315125,1.312604315125,1.312604315125
2.72446428571429,2.72446428571429,2.72446428571429,2.72446428571429,2.72446428571429,2.72446428571429,2.72446428571429,2.72446428571429,2.72446428571429,2.72446428571429,2.72446428571429,2.72446428571429,2.72446428571429,2.72446428571429,2.72446428571429,2.72446428571429,2.72446428571429,2.72446428571429
20.2516274614286,20.2516274614286,20.2516274614286,20.2516274614286,20.2516274614286,20.2516274614286,20.2516274614286,20.2516274614286,20.2516274614286,20.2516274614286,20.2516274614286,20.2516274614286,20.2516274614286,20.2516274614286,20.2516274614286,20.2516274614286,20.2516274614286,20.2516274614286
1.11148678682452,1.11148678682452,1.11148678682452,1.11148678682452,1.11148678682452,1.11148678682452,1.11148678682452,1.11148678682452,1.11148678682452,1.11148678682452,1.11148678682452,1.11148678682452,1.11148678682452,1.11148678682452,1.11148678682452,1.11148678682452,1.11148678682452,1.11148678682452
1.312604315125,0,0,0,0,0,0,0,0,0,0,1.312604315125,0,0,1.312604315125,0,0,1.312604315125
2.72446428571429,0,0,0,0,0,0,0,0,0,0,2.72446428571429,0,0,2.72446428571429,0,0,2.72446428571429
20.2516274614286,0,0,0,0,0,0,0,0,0,0,20.2516274614286,0,0,20.2516274614286,0,0,20.2516274614286
1.11148678682452,0,0,0,0,0,0,0,0,0,0,1.11148678682452,0,0,1.11148678682452,0,0,1.11148678682452
1.312604315125,0,0,0,1.312604315125,0,1.312604315125,1.312604315125,1.312604315125,0,0,1.312604315125,0,0,1.312604315125,1.312604315125,0,0
2.72446428571429,0,0,0,2.72446428571429,0,2.72446428571429,2.72446428571429,2.72446428571429,0,0,2.72446428571429,0,0,2.72446428571429,2.72446428571429,0,0
20.2516274614286,0,0,0,20.2516274614286,0,20.2516274614286,20.2516274614286,20.2516274614286,0,0,20.2516274614286,0,0,20.2516274614286,20.2516274614286,0,0
1.11148678682452,0,0,0,1.11148678682452,0,1.11148678682452,1.11148678682452,1.11148678682452,0,0,1.11148678682452,0,0,1.11148678682452,1.11148678682452,0,0
0,1.312604315125,1.312604315125,0,0,0,0,1.312604315125,0,1.312604315125,0,1.312604315125,1.312604315125,0,0,1.312604315125,1.312604315125,0
0,2.72446428571429,2.72446428571429,0,0,0,0,2.72446428571429,0,2.72446428571429,0,2.72446428571429,2.72446428571429,0,0,2.72446428571429,2.72446428571429,0
0,20.2516274614286,20.2516274614286,0,0,0,0,20.2516274614286,0,20.2516274614286,0,20.2516274614286,20.2516274614286,0,0,20.2516274614286,20.2516274614286,0
0,1.11148678682452,1.11148678682452,0,0,0,0,1.11148678682452,0,1.11148678682452,0,1.11148678682452,1.11148678682452,0,0,1.11148678682452,1.11148678682452,0
0,0,0,0,1.312604315125,0,1.312604315125,1.312604315125,0,0,0,0,0,0,1.312604315125,0,0,0
0,0,0,0,2.72446428571429,0,2.72446428571429,2.72446428571429,0,0,0,0,0,0,2.72446428571429,0,0,0
0,0,0,0,20.2516274614286,0,20.2516274614286,20.2516274614286,0,0,0,0,0,0,20.2516274614286,0,0,0
0,0,0,0,1.11148678682452,0,1.11148678682452,1.11148678682452,0,0,0,0,0,0,1.11148678682452,0,0,0
1.312604315125,0,0,0,1.312604315125,0,1.312604315125,0,1.312604315125,0,0,0,0,0,0,0,0,0
2.72446428571429,0,0,0,2.72446428571429,0,2.72446428571429,0,2.72446428571429,0,0,0,0,0,0,0,0,0
20.2516274614286,0,0,0,20.2516274614286,0,20.2516274614286,0,20.2516274614286,0,0,0,0,0,0,0,0,0
1.11148678682452,0,0,0,1.11148678682452,0,1.11148678682452,0,1.11148678682452,0,0,0,0,0,0,0,0,0
1.312604315125,0,1.312604315125,0,1.312604315125,0,1.312604315125,0,1.312604315125,0,0,0,0,0,1.312604315125,1.312604315125,0,1.312604315125
2.72446428571429,0,2.72446428571429,0,2.72446428571429,0,2.72446428571429,0,2.72446428571429,0,0,0,0,0,2.72446428571429,2.72446428571429,0,2.72446428571429
20.2516274614286,0,20.2516274614286,0,20.2516274614286,0,20.2516274614286,0,20.2516274614286,0,0,0,0,0,20.2516274614286,20.2516274614286,0,20.2516274614286
1.11148678682452,0,1.11148678682452,0,1.11148678682452,0,1.11148678682452,0,1.11148678682452,0,0,0,0,0,1.11148678682452,1.11148678682452,0,1.11148678682452
0,1.312604315125,1.312604315125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.312604315125
0,2.72446428571429,2.72446428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.72446428571429
0,20.2516274614286,20.2516274614286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.2516274614286
0,1.11148678682452,1.11148678682452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11148678682452
1.312604315125,0,1.312604315125,0,1.312604315125,0,1.312604315125,1.312604315125,1.312604315125,0,0,1.312604315125,0,0,0,0,0,1.312604315125
2.72446428571429,0,2.72446428571429,0,2.72446428571429,0,2.72446428571429,2.72446428571429,2.72446428571429,0,0,2.72446428571429,0,0,0,0,0,2.72446428571429
20.2516274614286,0,20.2516274614286,0,20.2516274614286,0,20.2516274614286,20.2516274614286,20.2516274614286,0,0,20.2516274614286,0,0,0,0,0,20.2516274614286
1.11148678682452,0,1.11148678682452,0,1.11148678682452,0,1.11148678682452,1.11148678682452,1.11148678682452,0,0,1.11148678682452,0,0,0,0,0,1.11148678682452
0,0,0,1.312604315125,0,1.312604315125,0,0,0,1.312604315125,1.312604315125,0,1.312604315125,1.312604315125,0,0,1.312604315125,0
0,0,0,2.72446428571429,0,2.72446428571429,0,0,0,2.72446428571429,2.72446428571429,0,2.72446428571429,2.72446428571429,0,0,2.72446428571429,0
0,0,0,20.2516274614286,0,20.2516274614286,0,0,0,20.2516274614286,20.2516274614286,0,20.2516274614286,20.2516274614286,0,0,20.2516274614286,0
0,0,0,1.11148678682452,0,1.11148678682452,0,0,0,1.11148678682452,1.11148678682452,0,1.11148678682452,1.11148678682452,0,0,1.11148678682452,0
