"herbivory.desirability","infection.desirability","direct_sown_sla.desirability","diversity.desirability"
0,2.6,16.53690177,0.988495466807343
0,0.55,16.53690177,1.24018063664824
0,1.5,16.53690177,0.964650946634436
0,2.3,16.53690177,0.780628303724941
4.536666667,3.1,22.31607622,1.29825576233832
3.4,3.35,22.31607622,1.41045510764303
2.210909091,6.44,22.31607622,1.4765698486303
3.29,4.95,22.31607622,1.61363387498538
3.32,1.95,23.68819949,1.29965722225798
2.384615385,2.8,23.68819949,0.755860104667833
4.4,5.4,23.68819949,1.06273236918108
3.739220779,1.25,23.68819949,1.20287555281643
1.68,0,20.18788567,0
1.04,1,20.18788567,0
1.28,0.9,20.18788567,0
1.08,0.25,20.18788567,0
0,5.2,21.48947191,1.1535830226978
0,5.3,21.48947191,1.49732871460583
0,3.65,21.48947191,1.12217849470659
0,3.2,21.48947191,1.62729647330204
0,2.5,25.75462712,1.51523562657503
0,4.92,25.75462712,1.05759379908029
0,3.48,25.75462712,1.43010265830211
0,5.6,25.75462712,1.25458109958973
3.8,4.6,22.97760119,1.23605293485375
4.8,3.1,22.97760119,1.50004099515828
3.506666667,3.35,22.97760119,1.10456854236011
4.88,2.95,22.97760119,1.52181755542239
0.16,0.1,14.01853232,0
0.48,0.05,14.01853232,0
0.88,0.8,14.01853232,0
0.64,0.5,14.01853232,0
0,2.64,19.98974299,0.688250886411033
0,3.3,19.98974299,1.15172650511616
0,1.9,19.98974299,0.721190540105708
0,1.25,19.98974299,0.788870987750797
0,4.9,25.92116188,1.53197332452101
0,6.6,25.92116188,1.10296295682646
0,5.3,25.92116188,1.05366653408354
0,3.37,25.92116188,0.838310731406414
