"Cj.action","Dg.action","Sp.action","To.action","Dc.action","Lp.action","Pm.action","Ao.action","Be.action","Cb.action","Hl.action","Hp.action","Ra.action","Pt.action","Fr.action","Pg.action","Ga.action","Am.action","nitrogen.initial","fungicide.initial","Cj.outcome","Dg.outcome","Sp.outcome","To.outcome","Dc.outcome","Lp.outcome","Pm.outcome","Ao.outcome","Be.outcome","Cb.outcome","Hl.outcome","Hp.outcome","Ra.outcome","Pt.outcome","Fr.outcome","Pg.outcome","Ga.outcome","Am.outcome","herbivory.desirability","infection.desirability","direct_sown_sla.desirability","diversity.desirability","state_idx"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.32,0.6,22.51774405,0,32768
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.24,0.6,22.51774405,0,32768
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.04,0.5,22.51774405,0,32768
1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0.172413793,0,0.172413793,0,0,0,0.172413793,0.00862069,0.086206897,0,0,0,0,0,0,0.043103448,0,0.344827586,3.9075,3.45,18.95343909,1.66417506229808,164309
1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0.336538462,0,0.134615385,0,0,0,0.038461538,0.019230769,0.038461538,0,0,0,0,0,0,0,0,0.432692308,3.12,3.15,18.95343909,1.32554045390292,164309
1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0.238095238,0,0.238095238,0,0,0,0.178571429,0.011904762,0.023809524,0,0,0,0,0,0,0.047619048,0,0.261904762,4.475555556,3.8,18.95343909,1.62862096988464,164309
1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0.31496063,0,0.196850394,0,0,0,0.157480315,0.078740157,0.078740157,0,0,0,0,0,0,0.078740157,0,0.094488189,2.84,1.05,18.95343909,1.79821738573635,164309
0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0.151515152,0.04040404,0,0,0,0,0,0,0,0,0,0.808080808,0,0.9,18.22913273,0.587765695847704,131280
0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.018348624,0,0.055045872,0.027522936,0,0,0,0,0,0,0,0,0,0.899082569,0,0.45,18.22913273,0.427499251887906,131280
0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.164835165,0.010989011,0,0,0,0,0,0,0,0,0,0.824175824,0,1.1,18.22913273,0.50610828120589,131280
0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.098039216,0.019607843,0,0,0,0,0,0,0,0,0,0.882352941,0,2.1,18.22913273,0.415217758345386,131280
1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0.377358491,0,0.188679245,0,0,0,0,0.009433962,0,0,0,0.094339623,0,0,0.047169811,0.141509434,0,0.141509434,0,1.3,18.87338246,1.64660541208308,182661
1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,1,1,0.339805825,0,0.106796117,0,0,0,0,0,0.067961165,0,0,0.106796117,0,0,0.067961165,0.019417476,0,0.291262136,0,2.1,18.87338246,1.64583737729316,182661
1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,1,1,0.315315315,0,0.135135135,0,0,0,0,0,0.045045045,0,0,0.09009009,0,0,0.009009009,0,0,0.405405405,0,4.55,18.87338246,1.39934292473181,182661
1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0.387931034,0,0.068965517,0,0,0,0,0.051724138,0.086206897,0,0,0.017241379,0,0,0.043103448,0.043103448,0,0.301724138,0,3.55,18.87338246,1.61885219211681,182661
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.08,0.8,19.13846723,0,2048
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.8,0.7,19.13846723,0,2048
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.16,0.25,19.13846723,0,2048
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.52,0.5,19.13846723,0,2048
1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0.321100917,0,0.321100917,0.064220183,0,0,0.137614679,0,0,0,0,0,0,0.018348624,0.064220183,0,0.073394495,0,5.743157895,4.06,21.37988027,1.62015810077521,90189
1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0.318181818,0,0.545454545,0,0,0,0.109090909,0,0,0,0,0,0,0.009090909,0.009090909,0,0.009090909,0,4.36,4.21,21.37988027,1.06487367686373,90189
1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0.537190083,0,0.090909091,0,0,0,0.066115702,0,0,0,0,0,0,0,0.05785124,0,0.247933884,0,6.51,1.75,21.37988027,1.24203149261038,90189
1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0.48,0,0.04,0.016,0,0,0.24,0,0,0,0,0,0,0.024,0.04,0,0.16,0,6.88,0.72,21.37988027,1.40121172925642,90189
0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.154639175,0,0,0,0.773195876,0,0,0,0,0,0,0,0.072164948,0,0,0,0,0.84,2,24.32702197,0.677249816864348,8226
0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.210526316,0,0,0,0.789473684,0,0,0,0,0,0,0,0,0,0,0,0,1.6,2.2,24.32702197,0.514653165707194,8226
0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.217391304,0,0,0,0.706521739,0,0,0,0,0,0,0,0.076086957,0,0,0,0,1.04,1.55,24.32702197,0.77318869664309,8226
0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.365853659,0,0,0,0.609756098,0,0,0,0,0,0,0,0.024390244,0,0,0,0,2.28,2.33,24.32702197,0.760092831910692,8226
0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0.075268817,0,0.161290323,0,0,0,0.161290323,0.139784946,0,0,0.032258065,0,0,0.430107527,0,0,4.9,25.92116188,1.53197332452101,79400
0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0.021978022,0,0.10989011,0,0,0,0.43956044,0.076923077,0,0.010989011,0.010989011,0,0,0.32967033,0,0,4.35,25.92116188,1.35014944114466,79400
0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0.118811881,0,0.02970297,0,0,0,0.693069307,0.03960396,0,0.00990099,0.02970297,0,0,0.079207921,0,0,1.81,25.92116188,1.09050734345859,79400
0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0.078651685,0,0.04494382,0,0,0,0.04494382,0.02247191,0,0,0.02247191,0,0,0.786516854,0,0,3.37,25.92116188,0.838310731406414,79400
