"herbivory.desirability","infection.desirability","direct_sown_sla.desirability","diversity.desirability"
0.84,0.35,22.74446252,0
1.12,0.6,22.74446252,0
2.08,1,22.74446252,0
1.52,1,22.74446252,0
1.68,2.05,23.01370794,0.58628440968132
0.68,1.5,23.01370794,0.823959215807935
1.32,2.55,23.01370794,0.733354769320088
1.84,1.2,23.01370794,0.628730364217338
0,2.3,16.53690177,0.780628303724941
0,1.5,16.53690177,0.964650946634436
0,1.9,16.53690177,0.781324343403114
0,0.55,16.53690177,1.24018063664824
0,5,24.03507634,1.50300725874023
0,4.6,24.03507634,1.32616550803668
0,4.3,24.03507634,1.65934514152939
0,2.07,24.03507634,1.73392447774804
0.76,0.5,16.81648496,0
0.08,0.2,16.81648496,0
0.96,0.35,16.81648496,0
0.6,0.25,16.81648496,0
0.32,0.6,22.51774405,0
0.52,0.15,22.51774405,0
0.32,0.5,22.51774405,0
0.52,0.7,22.51774405,0
2.72,2.4,24.18805459,0.859967281443487
1.56,2,25.38613119,0.941396117766186
0.88,2.23,24.18805459,0.746032664714785
1.92,1,25.38613119,0.510929635357191
1.16,0.6,20.18788567,0
1.68,0,20.18788567,0
1.52,0.8,20.18788567,0
1.24,0.15,20.18788567,0
0,5.5,18.87338246,1.35725964343523
0,2.2,18.87338246,1.26795246376503
0,3.55,18.87338246,1.61885219211681
0,2.1,18.87338246,1.64583737729316
0,5.5,23.55281661,1.16369720532034
0,4.8,23.55281661,1.48021422185792
0,0.75,23.55281661,1.23775809563892
0,3.75,23.55281661,1.72714215108201
