"herbivory.desirability","infection.desirability","direct_sown_sla.desirability","diversity.desirability"
0.04,0.8,24.07674063,0
0.24,1,24.07674063,0
0.76,0.7,24.07674063,0
0.68,1,24.07674063,0
1.04,0.7,21.41923304,0
0.88,1,21.41923304,0
0.28,1,21.41923304,0
0.68,1,21.41923304,0
3.4,3.35,22.31607622,1.41045510764303
4.536666667,3.1,22.31607622,1.29825576233832
4.36,2.85,22.31607622,1.78983676449138
2.210909091,6.44,22.31607622,1.4765698486303
0,1.8,18.53308535,0.820730270633977
0,1.9,18.53308535,0.820914132757623
0,0.25,18.53308535,0.694010280660442
0,1.8,18.53308535,0.632077611466128
4.145714286,1.9,17.70045579,0.632369472690703
2.166666667,1,17.70045579,0.619205047209067
2.84,0.55,17.70045579,0.760468802251346
2.32,1.8,17.70045579,0.69539553084017
3,1.5,25.38613119,0.829511301943977
2.6,1.7,25.38613119,0.913621960434927
2.88,0.8,24.18805459,0.885914333746555
1.24,1.9,25.38613119,0.376770161256437
0,1.1,18.22913273,0.50610828120589
0,0.9,18.22913273,0.587765695847704
0,0.45,18.22913273,0.427499251887906
0,0.45,18.22913273,0.677648009008095
0,3.37,23.63660494,0.412554395203288
0,3.28,23.63660494,0.771252726221059
0,3.4,23.63660494,1.25501948283971
0,1.8,23.63660494,0.945456542418599
1.12,2.15,24.32702197,0.524094006638012
2.92,1.6,24.32702197,0.481602379675834
1.6,2.2,24.32702197,0.514653165707194
1.8,3,24.32702197,1.04058055898333
3.735652174,1,18.53102948,1.69785016736921
4.997894737,1,18.53102948,1.36570630309891
3.6,1.2,18.53102948,1.43255870259941
3.8,2.7,18.53102948,1.55757469496814
