"Achmi.action","Agrsm.action","Amocan.action","Andge.action","Asctu.action","Elyca.action","Koecr.action","Lesca.action","Liaas.action","Luppe.action","Monfi.action","Panvi.action","Petpu.action","Poapr.action","Queel.action","Quema.action","Schsc.action","Sornu.action","environment.initial","Achmi.outcome","Agrsm.outcome","Amocan.outcome","Andge.outcome","Asctu.outcome","Elyca.outcome","Koecr.outcome","Lesca.outcome","Liaas.outcome","Luppe.outcome","Monfi.outcome","Panvi.outcome","Petpu.outcome","Poapr.outcome","Queel.outcome","Quema.outcome","Schsc.outcome","Sornu.outcome","diversity.desirability"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,4.9,0,0,0,1.15,0,0,6.98,34.27,7,2.12,9.65,24.27,8.53,0,0,15.12,102.22,1.72489603776671
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,259.75,0,0,0,0,0,5.38,0,0,0,0,0,0,63.9,0,0.572179249823657
1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.17,0,10.9,0,0,0,0,0,0,0,0,0,0,62.05,0.437137615227748
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.9,0,0,0,0,0,0,0
1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0.42,0,0,0,0,0,0,29.18,21.95,0,0,0,20.5,0.3,0,0,80.07,0,1.23206724101958
1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1.33,0,0,87.4,0,0,0,10.65,29.75,3.55,0,0.37,1.63,1.37,0,0,43.67,38.07,1.59057618547968
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.48,0
1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,4.32,0,0,55.12,0.1,0,0,0,25.42,5.42,0,4.43,8.67,4.67,0,0,57.23,35.12,1.77154644467376
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.2,0
0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,18.35,0,0,0,0,5.3,0,0,1.62,0,0,94.4,0,0,0,0,0,0.670925332304849
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.02,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,12.3,0,0,176.87,0,0,1.2,0,0,6.92,0,0,0,5.45,0,0,0,0,0.531961018170386
1,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,3.33,0,0,0,0,0,3.18,0,63.57,0.75,0,0,43.8,0,0,0,65.45,0,1.2471893688759
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,28.67,0,0,3.17,15.67,0,2.67,0,6.83,11,2.5,0,0,89.83,0,1.3885731442098
1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,3.45,0,0,88.17,0,0,0,0,87.9,2.28,0.97,1.37,5.83,5.07,0,0,26.72,43.97,1.56485405302025
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
