"Ea.action","Pa.action","Pch.action","Pci.action","Pf.action","Pp.action","Pv.action","Sm.action","environment.initial","Ea.outcome","Pa.outcome","Pch.outcome","Pci.outcome","Pf.outcome","Pp.outcome","Pv.outcome","Sm.outcome","diversity.desirability"
1,0,0,0,0,0,1,0,0,0.00521788732394366,0,0,0,0,0,0.118272112676056,0,0.17504099228104
1,0,0,0,0,0,0,1,0,0.12793,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,0,0.120278796992481,0,0,0,0,0,0,0.000911203007518797,0.0442600020458067
0,1,1,0,0,0,0,0,0,0,0,0.0772,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0,0,0.08931,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0,0.06983,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0,0.07833,0,0,0,0,0,0,0
0,1,0,0,1,0,0,0,0,0,0.0331168627451,0,0,0.0318431372549,0,0,0,0.692954934483863
0,1,0,0,1,0,0,0,0,0,0.0295087719298,0,0,0.0377712280702,0,0,0,0.685587329039789
0,1,0,0,0,1,0,0,0,0,0.045038,0,0,0,0.083642,0,0,0.647446639034633
0,1,0,0,0,1,0,0,0,0,0.0468424358974,0,0,0,0.0791475641026,0,0,0.659904035958308
0,1,0,0,0,0,1,0,0,0,0.0793757017544,0,0,0,0,0.0739942982456,0,0.69253148016446
0,1,0,0,0,0,1,0,0,0,0.0968484269663,0,0,0,0,0.0721615730337,0,0.682441073793438
0,1,0,0,0,0,0,1,0,0,0.0482434188034,0,0,0,0,0,0.0427965811966,0.691356353083408
0,1,0,0,0,0,0,1,0,0,0.0661883146067,0,0,0,0,0,0.0618716853933,0.692578962840908
0,0,1,1,0,0,0,0,0,0,0,0.07356,0,0,0,0,0,0
0,0,1,1,0,0,0,0,0,0,0,0.0745,0,0,0,0,0,0
0,0,1,1,0,0,0,0,0,0,0,0.0720395180722891,0.000290481927710843,0,0,0,0,0.02616643442087
0,0,1,1,0,0,0,0,0,0,0,0.07849,0,0,0,0,0,0
0,0,1,0,1,0,0,0,0,0,0,0.07479,0,0,0,0,0,0
0,0,1,0,1,0,0,0,0,0,0,0.07488,0,0,0,0,0,0
0,0,1,0,1,0,0,0,0,0,0,0.08041,0,0,0,0,0,0
0,0,1,0,1,0,0,0,0,0,0,0.07909,0,0,0,0,0,0
0,0,1,0,0,1,0,0,0,0,0,0.0776841428571429,0,0,0.0692858571428571,0,0,0.6915136378175
0,0,1,0,0,1,0,0,0,0,0,0.0913431707317073,0,0,0.0615168292682927,0,0,0.673988221217734
0,0,1,0,0,1,0,0,0,0,0,0.0962307692307692,0,0,0.0427692307692308,0,0,0.617241769730342
0,0,1,0,0,1,0,0,0,0,0,0.0907349253731343,0,0,0.0692450746268657,0,0,0.684097796417677
0,0,1,0,0,0,1,0,0,0,0,0.100238571428571,0,0,0,0.0597914285714286,0,0.660857527357303
0,0,1,0,0,0,1,0,0,0,0,0.0951328767123288,0,0,0,0.0702171232876712,0,0.681750847902624
0,0,1,0,0,0,1,0,0,0,0,0.113848101265823,0,0,0,0.0360518987341772,0,0.551662860853244
0,0,1,0,0,0,1,0,0,0,0,0.106064634146341,0,0,0,0.0580353658536585,0,0.649682046192666
0,0,1,0,0,0,0,1,0,0,0,0.0774187826086956,0,0,0,0,0.0639012173913043,0.688565509851069
0,0,1,0,0,0,0,1,0,0,0,0.0825897752808989,0,0,0,0,0.0674202247191011,0.688025439709913
0,0,1,0,0,0,0,1,0,0,0,0.072925,0,0,0,0,0.072925,0.693147180559945
0,0,0,1,1,0,0,0,0,0,0,0,0.0625554054054054,0.00357459459459459,0,0,0,0.210283412286133
0,0,0,1,1,0,0,0,0,0,0,0,0.0574830487804878,0.0070869512195122,0,0,0,0.346005096046466
0,0,0,1,1,0,0,0,0,0,0,0,0.0534366101694915,0.00719338983050848,0,0,0,0.364214657301967
0,0,0,1,1,0,0,0,0,0,0,0,0.0500681481481481,0.00957185185185185,0,0,0,0.440487850981387
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.14898,0,0,0
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.14014,0,0,0
