Plot;Harvest;Species;Biomass;Notes
44;A16;Dg;0.461666667;
44;A16;Hl;0.6925;
44;A16;Pg;1.385;
44;A16;Pm;0.6925;
44;A16;Ra;6.925;
45;A16;Be;0.422826087;
46;A16;Am;2.352604167;
46;A16;Ao;0.235260417;
46;A16;Fr;11.76302083;
46;A16;Hp;1.176302083;
47;A16;Pg;21.308;
48;A16;Cb;9.134883721;
48;A16;Dg;1.278883721;
48;A16;Ga;1.461581395;
48;A16;Hl;0.730790698;
48;A16;Pt;0.730790698;
48;A16;To;16.4427907;
49;A16;Dc;1.522315789;
49;A16;Hl;0.652421053;
49;A16;Hp;0.434947368;
49;A16;Pg;2.174736842;
49;A16;Pm;2.174736842;
49;A16;To;5.436842105;
50;A16;Am;10.22716535;
50;A16;Ao;0.292204724;
50;A16;Be;1.461023622;
50;A16;Dc;0.876614173;
50;A16;Fr;2.922047244;
50;A16;Hp;0.876614173;
50;A16;Pm;1.461023622;
50;A16;Sp;4.383070866;
51;A16;Am;1.04359375;
51;A16;Be;0.695729167;
51;A16;Cj;8.696614583;
51;A16;Dc;2.0871875;
51;A16;Fr;8.696614583;
51;A16;Pg;0.347864583;
51;A16;Pm;0.695729167;
51;A16;Sp;3.478645833;
52;A16;To;16.90913265;
53;A16;Dg;1.538979592;
53;A16;Ga;1.538979592;
53;A16;Ra;23.08469388;
54;A16;Am;11.82445545;
54;A16;Ao;0.358316832;
54;A16;Be;0.716633663;
54;A16;Cj;7.882970297;
54;A16;Dc;1.074950495;
54;A16;Pg;1.074950495;
54;A16;Pm;0.716633663;
54;A16;Sp;3.583168317;
55;A16;Am;5.485055866;
55;A16;Ao;0.16877095;
55;A16;Dc;0.590698324;
55;A16;Pm;6.750837989;
56;A16;Cj;30.112;
57;A16;Am;6.861;
57;A16;Ao;0.2287;
57;A16;Be;0.4574;
57;A16;Cj;2.7444;
57;A16;Fr;5.7175;
57;A16;Hp;0.4574;
57;A16;Pg;0.2287;
57;A16;Sp;0.4574;
58;A16;Dg;0.308235294;
58;A16;Ga;0.462352941;
58;A16;Ra;5.085882353;
59;A16;Am;1.719014085;
59;A16;Ao;0.343802817;
59;A16;Be;0;
59;A16;Cb;4.125633803;
59;A16;Cj;0.343802817;
59;A16;Dc;0.343802817;
59;A16;Dg;3.438028169;
59;A16;Fr;1.375211268;
59;A16;Ga;0.687605634;
59;A16;Hl;1.375211268;
59;A16;Hp;0.343802817;
59;A16;Lp;8.251267606;
59;A16;Pg;0.343802817;
59;A16;Pm;0.515704225;
59;A16;Pt;0.343802817;
59;A16;Ra;5.157042254;
59;A16;Sp;1.031408451;
59;A16;To;4.125633803;
60;A16;Cb;26.78775;
61;A16;Dg;0.764;
61;A16;Ga;1.91;
61;A16;Hl;0.382;
61;A16;Lp;9.55;
61;A16;Pt;1.146;
61;A16;To;17.19;
62;A16;Am;3.202631579;
62;A16;Ao;0.320263158;
62;A16;Be;0.320263158;
62;A16;Fr;0.960789474;
62;A16;Hp;0.320263158;
62;A16;Pg;0.320263158;
62;A16;Pm;0.960789474;
62;A16;Sp;8.006578947;
63;A16;Cb;27.14140625;
63;A16;Dg;0.77546875;
63;A16;Ga;1.5509375;
63;A16;Hl;0;
63;A16;Lp;15.509375;
63;A16;To;19.38671875;
64;A16;Cb;9.608585859;
64;A16;Ga;3.843434343;
64;A16;Hl;1.537373737;
64;A16;Lp;11.53030303;
65;A16;Cb;3.597540984;
65;A16;Dg;0.479672131;
65;A16;Ga;0.359754098;
65;A16;Lp;3.597540984;
65;A16;Pt;0.239836066;
65;A16;Ra;2.878032787;
65;A16;To;3.597540984;
66;A16;Am;4.8372;
66;A16;Dg;0.4031;
66;A16;Sp;8.062;
67;A16;Hp;5.373;
68;A16;Ao;0.230480769;
68;A16;Cj;4.609615385;
68;A16;Fr;14.98125;
68;A16;Pg;0.691442308;
69;A16;Cb;6.042134831;
69;A16;Dg;8.458988764;
69;A16;Ga;1.812640449;
69;A16;Hl;4.833707865;
69;A16;Ra;9.66741573;
69;A16;To;9.063202247;
70;A16;Cj;4.09296875;
70;A16;Fr;8.1859375;
70;A16;Ga;1.364322917;
70;A16;Pm;0.545729167;
70;A16;Pt;1.910052083;
70;A16;Sp;2.728645833;
70;A16;To;4.09296875;
71;A16;Fr;25.628;
72;A16;Dc;0.851443299;
72;A16;Dg;0.851443299;
72;A16;Ga;0.567628866;
72;A16;Hl;0.851443299;
72;A16;Hp;1.135257732;
72;A16;Lp;11.35257732;
72;A16;Pg;0.851443299;
72;A16;Pm;1.135257732;
73;A16;Be;0;
73;A16;Dc;2.657673267;
73;A16;Ga;0;
73;A16;Lp;6.201237624;
73;A16;Pg;0.885891089;
73;A16;Pm;0.531534653;
73;A16;Ra;0.885891089;
74;A16;Dg;1.271568627;
74;A16;Lp;6.993627451;
74;A16;Pt;1.907352941;
75;A16;Be;0;
75;A16;Ga;2.144086022;
75;A16;Pm;1.715268817;
75;A16;To;5.360215054;
76;A16;Am;4.249787234;
76;A16;Ao;0.531223404;
76;A16;Cb;13.28058511;
76;A16;Ga;3.71856383;
76;A16;Pm;1.593670213;
76;A16;Sp;10.62446809;
77;A16;Am;3.958762887;
77;A16;Ga;1.84742268;
77;A16;Lp;15.83505155;
77;A16;Sp;1.319587629;
78;A16;Ga;15.805;
79;A16;Sp;15.834;
80;A16;Cb;3.928421053;
80;A16;Ga;0.785684211;
80;A16;Lp;11.78526316;
80;A16;Pt;3.928421053;
80;A16;Ra;5.892631579;
80;A16;To;5.499789474;
82;A16;Am;4.622596154;
82;A16;Ao;0.154086538;
82;A16;Be;0.154086538;
82;A16;Cj;0.616346154;
82;A16;Dc;1.078605769;
82;A16;Hp;0.616346154;
82;A16;Pm;0.308173077;
82;A16;Sp;0.770432692;
83;A16;Am;5.877142857;
83;A16;Ao;0;
83;A16;Be;1.175428571;
83;A16;Cb;0.391809524;
83;A16;Cj;4.701714286;
83;A16;Dc;1.567238095;
83;A16;Dg;0.391809524;
83;A16;Fr;5.877142857;
83;A16;Ga;0.783619048;
83;A16;Hl;2.742666667;
83;A16;Hp;0.783619048;
83;A16;Lp;5.877142857;
83;A16;Pg;0.391809524;
83;A16;Pm;0.391809524;
83;A16;Pt;2.742666667;
83;A16;Ra;1.567238095;
83;A16;Sp;1.175428571;
83;A16;To;0.783619048;
84;A16;Cb;1.706214953;
84;A16;Ga;1.895794393;
84;A16;Hl;0.947897196;
84;A16;Lp;3.791588785;
84;A16;Pt;0.379158879;
84;A16;Ra;6.635280374;
84;A16;To;1.137476636;
85;A16;Am;0.744554455;
85;A16;Be;0.186138614;
85;A16;Cj;3.722772277;
85;A16;Dc;1.861386139;
85;A16;Fr;3.722772277;
85;A16;Pg;0.744554455;
85;A16;Pm;0.372277228;
85;A16;Sp;1.861386139;
86;A16;Cb;5.411764706;
86;A16;Dg;0.270588235;
86;A16;Ga;2.029411765;
86;A16;Hl;0;
86;A16;Pt;0.270588235;
86;A16;To;3.382352941;
87;A16;Be;0.565;
87;A16;Dc;2.825;
87;A16;Ga;4.2375;
87;A16;Lp;4.2375;
87;A16;Pg;2.26;
87;A16;Pm;1.4125;
87;A16;Ra;4.2375;
