"Cj.action","Dg.action","Sp.action","To.action","Dc.action","Lp.action","Pm.action","Ao.action","Be.action","Cb.action","Hl.action","Hp.action","Ra.action","Pt.action","Fr.action","Pg.action","Ga.action","Am.action","nitrogen.initial","fungicide.initial","Cj.outcome","Dg.outcome","Sp.outcome","To.outcome","Dc.outcome","Lp.outcome","Pm.outcome","Ao.outcome","Be.outcome","Cb.outcome","Hl.outcome","Hp.outcome","Ra.outcome","Pt.outcome","Fr.outcome","Pg.outcome","Ga.outcome","Am.outcome","herbivory.desirability","infection.desirability","direct_sown_sla.desirability","diversity.desirability"
0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0375,0,0,0,0.5625,0,0,0,0,0,0,0.4,0,0,0,0,0,NA,2.75,22.90582536,0.813286662233132
1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0.448717949,0,0,0,0.064102564,0,0.064102564,0.012820513,0,0,0,0.025641026,0,0,0.256410256,0.128205128,0,0,NA,3.7,19.09911541,1.47390944235907
1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0.164383562,0,0.205479452,0,0.04109589,0,0.01369863,0,0,0,0,0.02739726,0,0,0,0.068493151,0,0.479452055,NA,1.9,18.05620292,1.44653977193312
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,12.80272186,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,21.41923304,0
0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0.117647059,0,0,0,0,0,0,0,0,0,0.235294118,0.058823529,0.588235294,0,0,0,NA,1.9,26.38518008,1.07101788868375
0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0.036585366,0.036585366,0,0,0,0,0.012195122,0,0.670731707,0,0.06097561,0.12195122,0,0,0.012195122,0.048780488,0,NA,4.9,24.03507634,1.19192392212498
0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0.055555556,0,0,0.097222222,0,0,0,0.055555556,0.486111111,0.041666667,0.083333333,0.138888889,0,0,0.041666667,0,0,NA,5.5,22.31607622,1.64448571027198
0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0.023255814,0,0.197674419,0,0.197674419,0,0,0,0.546511628,0.011627907,0,0,0.023255814,0,0,0,0,NA,4.5,23.04708488,1.19784985846897
0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.103092784,0,0.06185567,0.010309278,0,0,0,0,0,0,0.824742268,0,0,0,NA,2.1,18.53308535,0.612458003304438
0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043956044,0,0.879120879,0.054945055,0,0,0.021978022,0,0,0,0,0,0,0,0,0,0,NA,3.25,22.00771886,0.493927725105236
0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0.317647059,0,0,0,0.623529412,0,0.023529412,0,0,0,0.035294118,0,0,NA,3.5,21.39443511,0.86506069297181
0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0.244680851,0,0.457446809,0,0,0,0,0.010638298,0,0.212765957,0.042553191,0,0,0.031914894,0,NA,3.51,24.8752922,1.32410721070703
1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,1,1,0.114942529,0,0,0,0.034482759,0,0.022988506,0,0.057471264,0,0,0.022988506,0,0,0.172413793,0,0,0.574712644,NA,4.38,17.88473764,1.32380042614531
1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.78125,0,0,0,0.09375,0,0.078125,0,0.046875,0,0,0,0,0,0,0,0,0,NA,1,17.70045579,0.757402872188571
