"plotid","plot.num","blk","enemy","resources","ANVI.outcome","PAAN.outcome","SCIN.outcome","SEPA.outcome","SOPI.outcome","TRFL.outcome","NEWSPS.outcome"
"3BLANKOE","3_27",3,"Sprayed","Ambient",5,15,0,4,0,0,139
"3BLANKOO","3_12",3,"Unsprayed","Ambient",20,0,3,1,1,0,98
"3BLANKRE","3_60",3,"Sprayed","Fertilized",0,0,0,0,0,0,115
"3BLANKRO","3_53",3,"Unsprayed","Fertilized",0,0,0,0,0,0,117
"3PAANMOE","3_43",3,"Sprayed","Ambient",6,8,2,3,0,0,112.5
"3PAANMOO","3_16",3,"Unsprayed","Ambient",40,10,0,2,0,0,50.5
"3PAANMRE","3_9",3,"Sprayed","Fertilized",15,25,0,0,0,0,118
"3PAANMRO","3_49",3,"Unsprayed","Fertilized",4,2,0,0,0,0,112
"3PAANPOE","3_40",3,"Sprayed","Ambient",4,0,30,0,20,0,114
"3PAANPOO","3_22",3,"Unsprayed","Ambient",1,0,25,0,0,0,95
"3PAANPRE","3_61",3,"Sprayed","Fertilized",0,0,4,0,0,0,139
"3PAANPRO","3_50",3,"Unsprayed","Fertilized",0,0,3,0,0,0,147
"3SCINMOE","3_15",3,"Sprayed","Ambient",0,0,40,0,0,0,136
"3SCINMOO","3_3",3,"Unsprayed","Ambient",40,0,60,0,0,0,39
"3SCINMRE","3_11",3,"Sprayed","Fertilized",0,0,30,0,0,0,143
"3SCINMRO","3_48",3,"Unsprayed","Fertilized",3,0,7,0,0,0,110
"3SCINPOE","3_5",3,"Sprayed","Ambient",4,20,0,0,20,0,73
"3SCINPOO","3_37",3,"Unsprayed","Ambient",0,1,0,0,0,0,131
"3SCINPRE","3_63",3,"Sprayed","Fertilized",0,6,0,0,2,0,138
"3SCINPRO","3_21",3,"Unsprayed","Fertilized",0,0,0,0,0,0,134
"3SEPAMOE","3_23",3,"Sprayed","Ambient",0,0,4,0,0,0,135
"3SEPAMOO","3_51",3,"Unsprayed","Ambient",1,0,0,0,0,0,130
"3SEPAMRE","3_59",3,"Sprayed","Fertilized",0,0,0,0,0,0,115
"3SEPAMRO","3_17",3,"Unsprayed","Fertilized",0,0,0,0,0,0,136
"3SEPAPOE","3_56",3,"Sprayed","Ambient",12,4,15,0,45,0,75
"3SEPAPOO","3_55",3,"Unsprayed","Ambient",2,3,25,0,0,0,113
"3SEPAPRE","3_18",3,"Sprayed","Fertilized",4,3,8,0,5,0,133
"3SEPAPRO","3_42",3,"Unsprayed","Fertilized",0,0,16,0,3,0,107.5
"3SOPIMOE","3_6",3,"Sprayed","Ambient",0,1,0,3,65,0,74
"3SOPIMOO","3_1",3,"Unsprayed","Ambient",60,6,0,0,4,0,43
"3SOPIMRE","3_57",3,"Sprayed","Fertilized",0,0,0,0,4,0,117
"3SOPIMRO","3_52",3,"Unsprayed","Fertilized",0,0,0,0,0,0,110
"3SOPIPOE","3_19",3,"Sprayed","Ambient",30,8,4,0,0,0,108
"3SOPIPOO","3_46",3,"Unsprayed","Ambient",2,4,18,0,3,0,103.5
"3SOPIPRE","3_10",3,"Sprayed","Fertilized",0,30,45,4,0,0,103
"3SOPIPRO","3_31",3,"Unsprayed","Fertilized",0,0,3,0,0,0,157
"3TRFLMOE","3_2",3,"Sprayed","Ambient",25,1,2,0,1,0,108
"3TRFLMOO","3_58",3,"Unsprayed","Ambient",0,0,0,0,0,0,123.5
"3TRFLMRE","3_26",3,"Sprayed","Fertilized",0,0,0,0,0,0,148
"3TRFLMRO","3_24",3,"Unsprayed","Fertilized",2,0,0,0,0,0,166
"3TRFLPOE","3_29",3,"Sprayed","Ambient",1,15,30,0,20,0,90
"3TRFLPOO","3_47",3,"Unsprayed","Ambient",15,3,18,0,18,0,81
"3TRFLPRE","3_44",3,"Sprayed","Fertilized",0,0,11,0,12,0,130
"3TRFLPRO","3_62",3,"Unsprayed","Fertilized",0,0,10,0,0,0,110
"4ANVIMOE","4_19",4,"Sprayed","Ambient",2,1,0,0,0,0,87.5
"4ANVIMOO","4_6",4,"Unsprayed","Ambient",0,1,1,0,1,0,89.5
"4ANVIMRE","4_28",4,"Sprayed","Fertilized",17,0,1,0,0,0,131
"4ANVIMRO","4_55",4,"Unsprayed","Fertilized",0,1,1,0,0,0,88.5
"4ANVIPOE","4_61",4,"Sprayed","Ambient",3,0,40,2,7,1,141
"4ANVIPOO","4_49",4,"Unsprayed","Ambient",1,10,8,0,0,0,122
"4ANVIPRE","4_38",4,"Sprayed","Fertilized",0,0.5,15,0,0,0,117
"4ANVIPRO","4_12",4,"Unsprayed","Fertilized",5,2,0,0,2,0,98
"4BLANKOE","4_48",4,"Sprayed","Ambient",45,10,0,0,0,0,68
"4BLANKOO","4_3",4,"Unsprayed","Ambient",5,0,3,0,0,0,133
"4BLANKRE","4_58",4,"Sprayed","Fertilized",0,0,0,0,0,0,169
"4BLANKRO","4_62",4,"Unsprayed","Fertilized",0,2,0,0,0,0,131
"4PAANMOE","4_11",4,"Sprayed","Ambient",10,50,10,1,0,0,129
"4PAANMOO","4_5",4,"Unsprayed","Ambient",15,8,2,0,0,0,140
"4PAANMRE","4_34",4,"Sprayed","Fertilized",0,45,2,0,0,0,121
"4PAANMRO","4_31",4,"Unsprayed","Fertilized",8,0,0,0,0,0,157
"4PAANPOE","4_46",4,"Sprayed","Ambient",15,7,30,5,11,0,58
"4PAANPOO","4_56",4,"Unsprayed","Ambient",20,4,17,0,1,0,64.5
"4PAANPRE","4_47",4,"Sprayed","Fertilized",2,0,20,0,1,0,79
"4PAANPRO","4_9",4,"Unsprayed","Fertilized",0,0,15,0,3,0,120
"4SCINMOE","4_42",4,"Sprayed","Ambient",0.5,0,85,0,0,0,24
"4SCINMOO","4_27",4,"Unsprayed","Ambient",12,0,30,0,0,0,80
"4SCINMRE","4_33",4,"Sprayed","Fertilized",0,0,90,0,0,0,14
"4SCINMRO","4_13",4,"Unsprayed","Fertilized",0,0,0,0,0,0,83
"4SCINPOE","4_54",4,"Sprayed","Ambient",10,6,0,4,0,0,89
"4SCINPOO","4_23",4,"Unsprayed","Ambient",3,3,0,0,0,0,95
"4SCINPRE","4_40",4,"Sprayed","Fertilized",2,0,0,0,4,0,98
"4SCINPRO","4_41",4,"Unsprayed","Fertilized",0,0,0,0,0,0,113
"4SEPAMOE","4_20",4,"Sprayed","Ambient",2,7,0,0,0,0,102
"4SEPAMOO","4_21",4,"Unsprayed","Ambient",17,0.5,3,0,2,2,93
"4SEPAMRE","4_59",4,"Sprayed","Fertilized",0,0,0,0,0,0,126
"4SEPAMRO","4_35",4,"Unsprayed","Fertilized",3,0,1,0,0,0,106
"4SEPAPOE","4_10",4,"Sprayed","Ambient",2,13,45,0,0,0,98
"4SEPAPOO","4_4",4,"Unsprayed","Ambient",10,0,6,0,2,0,98
