"ANVI.action","SEPA.action","TRFL.action","PAAN.action","SCIN.action","SOPI.action","ANVI.outcome","SEPA.outcome","TRFL.outcome","PAAN.outcome","SCIN.outcome","SOPI.outcome","parasite_richness.desirability","percent_cover.desirability","diversity.desirability"
1,1,1,1,1,0,1,1,1,1,1,0,5,-1.18098328632303,1.6094379124341
1,1,1,0,1,1,1,1,1,0,1,1,6,0.67512867501415,1.6094379124341
0,1,1,1,1,1,0,1,1,1,1,1,6,-0.0285733722725927,1.6094379124341
0,0,0,0,1,0,0,0,0,0,1,0,5,1.86075234084707,0
1,1,0,1,1,1,1,1,0,1,1,1,2,0.746069581914938,1.6094379124341
0,0,1,0,0,0,0,0,1,0,0,0,3,1.15976671192795,0
0,0,0,0,0,1,0,0,0,0,0,1,3,-0.819779831274351,0
0,1,0,0,0,0,0,1,0,0,0,0,2,-1.53916871672201,0
0,0,0,0,0,1,0,0,0,0,0,1,4.16616616616617,-0.54430155296238,0
1,1,1,1,0,1,1,1,1,1,0,1,3.37437437437437,-0.829279354669071,1.6094379124341
1,0,1,1,1,1,1,0,1,1,1,1,3.39439439439439,0.0482021019336077,1.6094379124341
0,0,0,0,1,0,0,0,0,0,1,0,3,-1.23676262714893,0
1,1,0,1,1,1,1,1,0,1,1,1,3,-1.19587559424877,1.6094379124341
0,0,0,1,0,0,0,0,0,1,0,0,4.31631631631632,-0.204794412794498,0
0,1,0,0,0,0,0,1,0,0,0,0,6,1.52242653552568,0
1,1,1,1,0,1,1,1,1,1,0,1,3,-0.89199803939534,1.6094379124341
0,0,1,0,0,0,0,0,1,0,0,0,6,0.964022134854968,0
1,1,1,1,1,0,1,1,1,1,1,0,5,0.727048732368615,1.6094379124341
0,1,1,1,1,1,0,1,1,1,1,1,4.21121121121121,-0.810930216180218,1.6094379124341
1,0,0,0,0,0,1,0,0,0,0,0,3,1.47810191046748,0
1,1,1,0,1,1,1,1,1,0,1,1,3.80680680680681,-1.58045037568144,1.6094379124341
1,0,1,1,1,1,1,0,1,1,1,1,5.84084084084084,-0.739238287793665,1.6094379124341
0,0,1,0,0,0,0,0,1,0,0,0,2.50650650650651,-1.34707364826707,0
0,1,1,1,1,1,0,1,1,1,1,1,4,-1.60200293361728,1.6094379124341
0,0,0,0,1,0,0,0,0,0,1,0,2,-1.6550484235869,0
0,0,0,0,0,1,0,0,0,0,0,1,6,-1.46325540233483,0
1,1,1,1,1,0,1,1,1,1,1,0,3,0.250294540445429,1.6094379124341
1,0,0,0,0,0,1,0,0,0,0,0,6,0.996333439793012,0
0,0,0,1,0,0,0,0,0,1,0,0,3,-1.94193400039935,0
1,1,1,1,0,1,1,1,1,1,0,1,3.34934934934935,-0.340926586906427,1.6094379124341
0,0,0,1,0,0,0,0,0,1,0,0,3,0.827737334722692,0
0,0,1,0,0,0,0,0,1,0,0,0,3,1.03798766705082,0
1,0,1,1,1,1,1,0,1,1,1,1,5,-0.344269546968889,1.6094379124341
0,1,0,0,0,0,0,1,0,0,0,0,4,-1.48160454082603,0
1,1,1,0,1,1,1,1,1,0,1,1,5,-0.763764747609431,1.6094379124341
1,1,0,1,1,1,1,1,0,1,1,1,3,0.470003629310736,1.6094379124341
1,1,1,0,1,1,1,1,1,0,1,1,3,-0.606135803441528,1.6094379124341
1,0,0,0,0,0,1,0,0,0,0,0,4,1.06087196090962,0
0,1,0,0,0,0,0,1,0,0,0,0,5,1.35239280916731,0
1,1,1,1,1,0,1,1,1,1,1,0,5,-0.80056742896865,1.6094379124341
1,1,0,1,1,1,1,1,0,1,1,1,3,-2.49182709261994,1.6094379124341
0,1,1,1,1,1,0,1,1,1,1,1,4,-0.889262059594409,1.6094379124341
0,0,0,0,0,1,0,0,0,0,0,1,4.97797797797798,-0.526450941839414,0
1,1,1,1,0,1,1,1,1,1,0,1,3,-0.299242894678719,1.6094379124341
0,0,0,0,1,0,0,0,0,0,1,0,5,-0.116259806258278,0
