"average_height.desirability","earliest_establishment.desirability","herb_colonization.desirability","diversity.desirability","training_size"
0.448326387247474,0.448644368686869,2.32461642857143,0.387620649807747,20
0.315121914188312,0.348424805194805,2.29866958874459,0.36727711074035,20
0.366893535905484,0.610915624098124,2.20805466089466,0.370217894041078,20
0.304556549246032,0.603486951659452,2.21989347763348,0.371951082168756,20
0.357614827867965,0.393137875180375,2.20137143217893,0.367969447733245,20
0.379667272063492,0.286363636363636,2.12020595238095,0.379504153390016,20
0.314620638080808,0.574110970418471,2.8733120589007,0.395409348080957,20
0.427446421648629,0.441110562770563,2.12513466810967,0.368553443775757,20
0.525692094431818,0.45353573953824,2.14279012626263,0.379657125470388,20
0.310970611295094,0.474514678932179,2.34411023088023,0.389586091670537,20
0.375157703460458,0.494068716108453,2.26174659950988,0.279928951226209,50
0.405678681733351,0.492166217616233,2.32248587600996,0.275252209699325,50
0.337261508445473,0.529501849641587,2.13911248482512,0.29047939490287,50
0.365989822691022,0.387642598132861,2.26020425694189,0.279442220629468,50
0.356270883694755,0.520698405512616,2.21113660967687,0.285010264031845,50
0.353846141057553,0.394226489855174,2.17855048823983,0.275056730893227,50
0.350524728206062,0.398733030419873,2.32299959359354,0.281097501303492,50
0.387071118407285,0.382892867424973,2.12246297836666,0.282198164563566,50
0.376566008239791,0.415394344064948,2.38253333829913,0.275796379884721,50
0.348261803286059,0.487322201132201,2.19187073739126,0.279937872379551,50
0.340472623591344,0.477163227356385,2.18631171537709,0.252553339887943,80
0.374493545313216,0.441052826492811,2.3935161136593,0.236152042525802,80
0.356675828755303,0.414584206434805,2.33275378627398,0.250541742694577,80
0.335654482719611,0.455098873499061,2.3509548934337,0.236866769110867,80
0.333490566585395,0.503098679257565,2.07428001332591,0.249958121868245,80
0.33234827066815,0.436030151781537,2.25303491262867,0.2436605893033,80
0.34418441725365,0.441729795107391,2.23798702201125,0.251455188703707,80
0.350840089323218,0.425127638561774,2.26269333851394,0.262226307884826,80
0.357273704360398,0.410875279036785,2.28966834143572,0.254472529392079,80
0.359307781999159,0.406317906318827,2.21633712300814,0.257398689924826,80
0.34987700613288,0.443755692249173,2.23855248937084,0.017906531191007,150
0.339545838098439,0.473880131587643,2.18839800594152,0.0194624865098033,150
0.335608683578062,0.441573544486254,2.17692347775807,0.0365526798409815,150
0.35298797591128,0.488757835847221,1.93912825987958,0.0176747940260791,150
0.358917435522861,0.390259909344236,2.17441835946309,0.0295820170182116,150
0.306502220998153,0.439583115185616,2.19213249952065,0.0275163163274025,150
0.314980024152266,0.422229221441999,2.25315469448272,0.0159058026209966,150
0.346879899433009,0.485656467519633,2.20180899398996,0.0178196041787042,150
0.350952557239495,0.423550696792752,2.44998004727259,0.0169593847303454,150
0.365235285475996,0.409909050085899,2.06826847451473,0.031508831084835,150
