"diversity.desirability","training_size"
0.152377687561944,20
0.177015791761489,20
0.189453293683909,20
0.158145650756276,20
0.169182591274633,20
0.149044948026791,20
0.20468309789171,20
0.159871333467283,20
0.235445843403985,20
0.159041159200718,20
0.162712346804083,50
0.17970245636536,50
0.158618006156994,50
0.162594528591714,50
0.167304918320485,50
0.154951616625229,50
0.16160371523771,50
0.148427477652635,50
0.153720165358029,50
0.156557073382776,50
0.168800499044767,80
0.158835365784353,80
0.177218222561156,80
0.160580082358407,80
0.166363454881509,80
0.154977043534046,80
0.16189173744252,80
0.160382033174299,80
0.163364733018881,80
0.164650492444724,80
0.168970029274944,150
0.171545826583423,150
0.167498272334064,150
0.162375748274104,150
0.174367073962105,150
0.177166702630816,150
0.167878003894051,150
0.162496526754511,150
0.159492371488307,150
0.162121349910325,150
0.113713254993444,400
0.0993972537155372,400
0.126857721605895,400
0.109002491541563,400
0.107979424846198,400
0.112416702596552,400
0.107401985813671,400
0.113590750645885,400
0.104639002102183,400
0.107635209977723,400
0.0336966872306424,800
0.0315032901414843,800
0.0323900878320127,800
0.0327618608632328,800
0.0343367529454567,800
0.0336165489594458,800
0.028300495131729,800
0.0452884895586226,800
0.0327620974075143,800
0.0378117850702904,800
