"diversity.desirability","training_size"
0.20261354498645,20
0.223568144310647,20
0.197581080998697,20
0.189046671039155,20
0.210845868831946,20
0.204204424143145,20
0.192457639630902,20
0.215061693638297,20
0.225697290902174,20
0.21968260084687,20
0.190312873218826,50
0.162620843329735,50
0.176392190947885,50
0.176426983144137,50
0.173932774585978,50
0.171425553923471,50
0.182205679080302,50
0.167682220453699,50
0.179030464611547,50
0.178253955451171,50
0.162441395592234,80
0.163309673378407,80
0.153820557363398,80
0.143518607186495,80
0.166677591650583,80
0.154625731788122,80
0.163487238770696,80
0.154751994144396,80
0.160893919569104,80
0.154312849070778,80
0.12976160844939,150
0.138537701841056,150
0.133116587484252,150
0.138299457934105,150
0.144977908757121,150
0.132816467423882,150
0.138941035951517,150
0.133600119022057,150
0.132955757189744,150
0.14774903623737,150
0.103024865247813,400
0.107731458368135,400
0.106875878438307,400
0.108346383464302,400
0.112116866301831,400
0.104812028952777,400
0.115603177417426,400
0.102621747906088,400
0.108400345963472,400
0.111860139056859,400
0.0882065485905934,800
0.083356830244478,800
0.0851690431296416,800
0.0884958929508351,800
0.0847143638172042,800
0.0808791425389381,800
0.0873093128214299,800
0.0832586197526492,800
0.0900967727780534,800
0.0867732181086611,800
0.0723193840189174,1200
0.0734787829904677,1200
0.0781593211208325,1200
0.0746079941243597,1200
0.0726691739723092,1200
0.0787092395957203,1200
0.0758230014312092,1200
0.0813394826157965,1200
0.0747125374827407,1200
0.0740576810561543,1200
0.107464533390517,1500
0.0691835759193287,1500
0.0680566020508556,1500
0.0816729352559555,1500
0.0768906465389553,1500
0.0642860679460947,1500
0.0979497951345004,1500
0.0685087637344234,1500
0.0964885256798083,1500
0.0590753424709119,1500
