"diversity.desirability","training_size"
0.322663727782939,20
0.39867483461766,20
0.389057686534325,20
0.308470514721054,20
0.342728533632625,20
0.335833273005363,20
0.351121219211067,20
0.445282763665351,20
0.35902753016341,20
0.368692176918101,20
0.28335477862416,50
0.312836230868909,50
0.267659234810178,50
0.276636019708342,50
0.319848700966456,50
0.31841911362545,50
0.314278457351084,50
0.355887952343943,50
0.260482613532246,50
0.312654108441036,50
0.254876188862437,80
0.26542323611082,80
0.243666311521076,80
0.246006283047068,80
0.284510575282709,80
0.265228148826099,80
0.23639079646543,80
0.281071258165701,80
0.298824326300414,80
0.27294839958776,80
0.189099451563476,150
0.289823340611663,150
0.235832508936429,150
0.195312192324579,150
0.18541840277481,150
0.17591335937487,150
0.325723472509164,150
0.154063474303274,150
0.313378912840766,150
0.16591960570931,150
