"diversity.desirability","training_size"
0.309170180324688,20
0.273765523639228,20
0.289530589022919,20
0.284486159800088,20
0.308289447741021,20
0.280674277914274,20
0.313434727642646,20
0.349986241880007,20
0.303817609825627,20
0.288368915269148,20
0.213466015308344,50
0.246889126711524,50
0.252240987407845,50
0.225064980009037,50
0.210270645548686,50
0.219739925570052,50
0.233196953101496,50
0.237462790326712,50
0.234910442229645,50
0.230760294902304,50
0.199850670377089,80
0.189356365272546,80
0.206251245535598,80
0.186056264530967,80
0.191010571468673,80
0.189221760143578,80
0.205356463195759,80
0.219669644131285,80
0.217759508581662,80
0.193161971337472,80
0.159406286643723,150
0.154188489398341,150
0.165170336645478,150
0.156793597791934,150
0.170502146182481,150
0.159393462454694,150
0.1718447083062,150
0.161130013251426,150
0.165912923984825,150
0.157742673603019,150
0.102794140339611,400
0.105605425568581,400
0.110034120469504,400
0.104907597109448,400
0.104435210580555,400
0.100618966796993,400
0.10004757477054,400
0.100518376816047,400
0.103011528720231,400
0.106321845541841,400
0.0806365635077294,800
0.0748986865328724,800
0.07931823256138,800
0.0763271907483016,800
0.0763484205163803,800
0.0783335254048069,800
0.0752593442052262,800
0.0825094437191054,800
0.0777056467632704,800
0.0774308536586303,800
0.067003266534733,1200
0.0705134665204006,1200
0.063996728421884,1200
0.0699119205057726,1200
0.0653775032510088,1200
0.0640610353569651,1200
0.0703896947263712,1200
0.0677213829238338,1200
0.0724878990458897,1200
0.0655910265018112,1200
0.0590609354845097,1500
0.0709581670797563,1500
0.05306414453686,1500
0.0502651258893954,1500
0.0654060026330959,1500
0.0563159861937392,1500
0.0877740152298941,1500
0.0483697040756579,1500
0.0821790987218703,1500
0.0469026150288963,1500
