"diversity.desirability","training_size"
0.304829519213476,20
0.278395483144166,20
0.311479172846756,20
0.305249563674672,20
0.305828832303967,20
0.2800779908018,20
0.270842356018866,20
0.282091960094404,20
0.304182599061682,20
0.297576454965673,20
0.250809769934669,50
0.249425848342549,50
0.232461855707104,50
0.262592992524309,50
0.239191509921185,50
0.261399810763492,50
0.246082345954053,50
0.253152379803917,50
0.221831576405255,50
0.263441289561017,50
0.221869970688772,80
0.20656367411727,80
0.211185541427829,80
0.199138222557982,80
0.210942043945917,80
0.229242933449677,80
0.214433111536484,80
0.231814932435883,80
0.218203979573473,80
0.205198203449738,80
0.166024663192724,150
0.170489272741808,150
0.177484857734216,150
0.17938895854353,150
0.180154559513131,150
0.157186838056738,150
0.174216193342762,150
0.166184607673724,150
0.169018884163013,150
0.177438919289406,150
0.120572129065847,400
0.118608874931543,400
0.125108036942952,400
0.121626896408811,400
0.126911540650616,400
0.127364569165721,400
0.124428566466981,400
0.130899827475873,400
0.123811084965911,400
0.118547549598421,400
