"diversity.desirability","training_size"
0.206686180539787,20
0.212646155683087,20
0.194360463701902,20
0.243201852913623,20
0.24503504672282,20
0.204099725957372,20
0.191282326424197,20
0.218812097940539,20
0.210827371027717,20
0.183281485456425,20
0.148035786884408,50
0.151930765386932,50
0.164685656913149,50
0.149892942105423,50
0.162623781995544,50
0.169969464592726,50
0.17657171209292,50
0.172517242854153,50
0.170803168924787,50
0.170824840901926,50
0.134742686173407,80
0.166225948705298,80
0.130708218693676,80
0.129850474441655,80
0.131058780906217,80
0.14969025168562,80
0.129894873679313,80
0.124927433841096,80
0.145334723006823,80
0.134447868586275,80
0.111985891720502,150
0.102769199307055,150
0.0964357483198089,150
0.108992431647779,150
0.105631981172056,150
0.103383035209055,150
0.1034432673956,150
0.109041545365606,150
0.100339173328088,150
0.118587790286564,150
