"diversity.desirability","training_size"
0.263258577805306,20
0.281467356105725,20
0.260312492294782,20
0.274150076070411,20
0.254771273902831,20
0.26478739306518,20
0.291632529308458,20
0.261125292586716,20
0.280386622008817,20
0.266912118718677,20
0.218096675468547,50
0.24617071384686,50
0.226920350028248,50
0.251066693349145,50
0.243415988741878,50
0.240316071996057,50
0.228558598926479,50
0.232626910751289,50
0.213513810657931,50
0.198882040941665,50
0.221067060049202,80
0.2152385019652,80
0.220259447066619,80
0.215507376087968,80
0.225475355033016,80
0.205066988513841,80
0.213440786621299,80
0.225151107703821,80
0.244077352148072,80
0.214541003783457,80
0.190228432285859,150
0.188057307524662,150
0.185340781747304,150
0.176161395131285,150
0.18023069759648,150
0.187148047814062,150
0.192821883720965,150
0.189205756145283,150
0.189268628787353,150
0.184194916470055,150
