"diversity.desirability","training_size"
0.220825978310065,20
0.241925114974332,20
0.224799836200208,20
0.22762327665744,20
0.246618092167747,20
0.235032026831141,20
0.252310281252043,20
0.230371616637971,20
0.218945205497433,20
0.23072564369368,20
0.196174783544614,50
0.183856871435696,50
0.166858517372015,50
0.19461371690936,50
0.169271255662683,50
0.178625774977834,50
0.1505488708756,50
0.14347314729783,50
0.201243404698458,50
0.223411186893859,50
0.118101795639849,80
0.129868026437717,80
0.122804601022867,80
0.107113319544258,80
0.146649601953796,80
0.130200524136494,80
0.108476640769145,80
0.1039194967272,80
0.129373985287364,80
0.126536217143742,80
