"diversity.desirability","training_size"
0.241532187537444,20
0.244712507102569,20
0.218150353584289,20
0.25813423039622,20
0.260084322647155,20
0.228956210822835,20
0.24861015631875,20
0.273492580443667,20
0.217945438728532,20
0.245587589453727,20
0.183135585509399,50
0.192759186318612,50
0.210168022196398,50
0.199304052343584,50
0.177190544103144,50
0.204759367768094,50
0.193100413514604,50
0.201071386772603,50
0.191748391788936,50
0.208195137980716,50
0.160794655990943,80
0.168619450061704,80
0.165865349591675,80
0.182569496006689,80
0.177520904171421,80
0.170610859242588,80
0.166208001606085,80
0.164535051095865,80
0.159667596856838,80
0.194375300137036,80
0.130463895456273,150
0.132781351611317,150
0.14056633937318,150
0.137193311524617,150
0.13774885235161,150
0.150304004668408,150
0.153461672209635,150
0.137407834614794,150
0.134804221907194,150
0.145876635067534,150
0.0852788714580053,400
0.079974798456537,400
0.0974189180248369,400
0.0863330794227961,400
0.08093876386791,400
0.0888955527534322,400
0.0955296469737626,400
0.078770083960613,400
0.0734314373066617,400
0.0856110787906895,400
