"herbivory.desirability","infection.desirability","direct_sown_sla.desirability","diversity.desirability","training_size"
1.61130290947953,1.20498950893164,1.92567744099288,0.412523437513089,20
1.62448073417079,1.56900712085415,2.10557544421215,0.455092282758554,20
2.22152235555537,1.62990974728005,1.72243734045522,0.36939028053201,20
1.60547857799437,1.63875411662818,2.18455084944685,0.413633522908358,20
1.70380842174522,1.21366490473126,2.07812317809358,0.406990967937776,20
3.12837305656022,1.73903805705474,1.93827583495719,0.414431249844144,20
1.61675044967697,1.62890622290756,1.88954714638032,0.44370548160235,20
1.65136706935339,1.38834563625054,2.24242723348923,0.361380416392689,20
2.12052909117435,1.52460264176626,2.18080516819764,0.448025023263623,20
2.90071352036902,1.76771475432289,2.10778268501235,0.42293022914244,20
1.65781346823483,1.17615306618314,1.6954935734632,0.275718721867197,50
1.58387781395851,1.29630067293957,1.95546031580543,0.264041283392415,50
1.68738524766134,1.37494185733567,1.68179111522142,0.272977592491797,50
1.61010648944098,1.2064573987986,1.77215831745858,0.292433742042884,50
1.57830663730231,1.28680608574174,1.73808292463353,0.31121494227412,50
1.71922027303744,1.15009029078466,1.58469901453806,0.311013852919102,50
1.82084740781011,1.23131696210937,1.37273433665926,0.272540227520372,50
1.59975127676801,1.18730753947615,1.65936492689527,0.305165785650623,50
1.58591961192525,1.47050415464675,1.6897277683224,0.348434684104543,50
2.08488791232293,1.24680079991646,1.592182007015,0.311219296507797,50
1.60765710979707,1.1412878451745,1.47637441570974,0.271033090775501,80
1.77213479623895,1.01808937180912,1.28260712795649,0.258469996413828,80
1.5461444544245,1.08662996997291,1.64786098881935,0.250115531172924,80
1.55196319522189,1.14981186139546,1.44137457267346,0.270307305001994,80
1.54586914389034,1.09652532916158,1.25131031280297,0.260712862784028,80
1.73594469900776,1.01896376934603,1.40568922793815,0.263561134057403,80
1.5828440929639,1.19424668507478,1.46656786231771,0.254514774000845,80
1.55128159754142,1.15102587961377,1.28753376172919,0.277963231983512,80
1.58653753391369,1.05447356344737,1.44851432261649,0.273916264684749,80
1.4855622550158,1.00104481102978,1.47878020819339,0.262348682096727,80
1.49085459239702,1.03551661407319,1.17382821877653,0.219027151513841,150
1.48026222277896,0.926839145440814,1.10333988754383,0.225990778391357,150
1.55281250556588,0.917392329418524,1.03049714449871,0.224920221607603,150
1.4947359764284,0.989563333725835,1.02535523029033,0.235433121240522,150
1.51582011739689,0.99115538756725,1.18544699333079,0.224872006199948,150
1.46606601144343,1.00266432605433,0.942692472903698,0.227592022058066,150
1.45565513467642,0.981355146248984,1.04365166451414,0.231137435153746,150
1.66505923069179,0.974911080070224,1.11431865958315,0.228961092142922,150
1.52021527898861,0.985134183932403,1.14900263367541,0.227785683592137,150
1.42230234740174,0.986843428418163,1.01227554216983,0.2500239819881,150
1.24680196750311,0.86822230299199,0.671881702815344,0.161437249201214,400
1.21172485999351,0.883745466808798,0.762137812690014,0.155475464303173,400
1.20655796111845,0.879101666712488,0.662261230786174,0.148432602455798,400
1.21898905007201,0.889996780091809,0.635056395871702,0.140027570269065,400
1.11046579157275,0.831230339432038,0.637932658838185,0.149292342246336,400
1.1445544317292,0.864341802605708,0.742254495581658,0.154187263177486,400
1.24585152312322,0.908931621056391,0.725016579010168,0.146237270292631,400
1.19479341304835,0.861833849864066,0.717176503597309,0.16325829258992,400
1.21646409143405,0.849101531635998,0.661206795845541,0.156326204473611,400
1.27382157715969,0.872196194020265,0.661976013276384,0.155153815932227,400
0.941299166014041,0.800854440407059,0.401695100178883,0.106881602328769,800
1.02180335915696,0.781159445082828,0.436827018901208,0.106772759110173,800
1.08848646433882,0.807161550798653,0.369661333248661,0.104720455134717,800
1.0353197897395,0.822481055581822,0.391807717025757,0.102825738074033,800
0.984756173721174,0.85468485863326,0.398476706977934,0.101618321165395,800
1.01344913707158,0.795936590768418,0.411675811184226,0.100515765682271,800
1.09590799914812,0.785933770049688,0.409448302507491,0.0985185034860029,800
1.05781388518056,0.763954528434926,0.484019987633907,0.100314323033556,800
0.984598223841728,0.855601616186255,0.408743183743024,0.0994814379375797,800
1.04000200266682,0.834115252607083,0.383114598736755,0.100313729754428,800
0.913805213085128,0.76343663615176,0.279955065422724,0.0908430869562745,1200
0.905251779898081,0.756798578382232,0.277691089402929,0.081766413403544,1200
0.959230998351117,0.810672547105977,0.268663847313686,0.078392601616594,1200
0.882593309309311,0.771520301346755,0.291739570203239,0.0757367472110178,1200
0.942436059373037,0.82121902399862,0.292747045725217,0.0841792772775276,1200
0.880979486630187,0.774881070538869,0.276899015557303,0.0807847108772372,1200
0.966691896707249,0.747297813401892,0.296097406277525,0.0854526749133169,1200
0.88250049555921,0.779353354044477,0.27611846189945,0.0812504711398942,1200
0.825860722366915,0.749107868681831,0.302589994560963,0.0883986209334611,1200
0.860366179690766,0.798165986863226,0.32007750546268,0.078072753762623,1200
0.723745472985239,0.796613113971875,0.228349256688769,0.0736553524960292,1500
0.721328505477392,0.741512882594687,0.224268407434112,0.074344103985525,1500
0.906979960805606,0.708375944106192,0.189281691389761,0.0705861140581035,1500
0.767255485753139,0.773256864014111,0.290111195331755,0.0860047447283485,1500
0.786660809573315,0.781011464938672,0.305232690881075,0.0726675860677409,1500
0.841835676374134,0.86550214156523,0.311106857319524,0.0829387144791217,1500
0.696431293475303,0.874027712885343,0.250670827732859,0.0664758848984382,1500
0.953264675842951,0.836647473267779,0.189807248774653,0.078602740329632,1500
0.725601923591208,0.815506233065185,0.241743422982212,0.0762371082717855,1500
1.01132907230848,0.73741800384273,0.196398884638079,0.0781529756887473,1500
