"parasite_richness.desirability","percent_cover.desirability","diversity.desirability","training_size"
1.23230507752884,0.954462305579954,0.376560130431386,20
1.11797010132371,0.944989729167113,0.371069144921319,20
1.13693385145905,0.892960467053995,0.374274826041652,20
1.20708499029221,0.99452287536571,0.389634884304031,20
1.19258790541482,0.954383153076776,0.378992591331279,20
1.13745442709114,0.924512230192418,0.385828185708969,20
1.1418283446595,0.923334675697845,0.391216760822662,20
1.16901085081154,0.847167933742288,0.427294598975358,20
1.16043801725142,1.02037318684325,0.396862711684992,20
1.20715572227439,0.924554282265198,0.378030721073745,20
1.0736808288834,0.948953309200282,0.279891242849879,50
1.05364082995041,0.827303899810318,0.280313067337565,50
1.14912342330875,0.870435245104966,0.285648252974629,50
1.13035730398085,0.973788015679642,0.293299545975681,50
1.11853698227883,0.921115282401405,0.311070470587105,50
1.07412226433238,0.92774951123068,0.302218447680805,50
1.18467225166956,0.844570477638271,0.301067857810025,50
1.2107176727025,0.962183596253143,0.297617003300978,50
1.15745671001282,0.961878528341696,0.281843558526529,50
1.13525326722512,0.987723481978989,0.297556892453573,50
1.19427612201365,0.824451113040739,0.252623858056975,80
1.41328818165408,0.893963042323097,0.251849760538518,80
1.27026300082791,0.893298181879397,0.288848507365634,80
1.14869886227199,0.914010741901218,0.288403779392112,80
1.31013483237002,0.84110923104985,0.287999141430472,80
1.27537608307173,1.0690537119334,0.267415239611782,80
1.20303650796479,0.942023988440165,0.288473985558216,80
1.08114350741554,1.09712953744729,0.285101880146677,80
1.21890043642837,0.724746918951469,0.266670470507372,80
1.12778065130996,1.01548151152302,0.277903909014535,80
