exp,ref,data.collection.year,site,growing.seasons,plant.year,rep.5,rep.10,n.s,water,treatment,Brca,Elgl,Hobr,Napu,Avsp,Brho,Homu,Vusp,total.n,total.i,total.seeded,bare,unseeded forbs,unseeded grasses,Total (data check),problem row,Comments
STG,354,2013,McLaughlin,2,2011,1,1,N,Fall 2011 1.25cm,tE,0,0,0,0,12,35,5,5,0,57,57,,,,,,
STG,355,2013,McLaughlin,2,2011,1,1,N,Fall 2011 1.25cm,NttE,2,4,0,0,20,30,2,1,6,53,59,,,,,,
STG,356,2013,McLaughlin,2,2011,1,5,S,No,N,5,10,0,0,10,25,0,0,15,35,50,,,,,,
STG,357,2013,McLaughlin,2,2011,1,5,S,No,NE,2,3,0,0,15,25,0,0,5,40,45,,,,,,
STG,358,2013,McLaughlin,2,2011,1,5,S,No,NtE,2,2,2,0,20,20,1,1,6,42,48,,,,,,
STG,359,2013,McLaughlin,2,2011,1,5,S,No,tE,0,0,0,0,10,50,0,2,0,62,62,,,,,,
STG,360,2013,McLaughlin,2,2011,1,5,S,No,NttE,0,18,0,0,40,40,0,1,18,81,99,,,,,,
STG,361,2013,McLaughlin,2,2011,2,2,N,Fall 2011 1.25cm,N,1,20,5,0,15,35,0,0,26,50,76,,,,,,
STG,362,2013,McLaughlin,2,2011,2,2,N,Fall 2011 1.25cm,NE,0,6,4,0,10,60,0,0,10,70,80,,,,,,
STG,363,2013,McLaughlin,2,2011,2,2,N,Fall 2011 1.25cm,NtE,0,15,0,0,3,60,0,0,15,63,78,,,,,,
STG,364,2013,McLaughlin,2,2011,2,2,N,Fall 2011 1.25cm,tE,0,0,0,0,12,60,10,0,0,82,82,,,,,,
STG,365,2013,McLaughlin,2,2011,2,2,N,Fall 2011 1.25cm,NttE,4,15,0,0,20,40,0,2,19,62,81,,,,,,
STG,366,2013,McLaughlin,2,2011,2,7,S,No,N,2,20,1,0,4,60,0,0,23,64,87,,,,,,
STG,367,2013,McLaughlin,2,2011,2,7,S,No,NE,2,2,0,0,20,60,0,0,4,80,84,,,,,,
STG,368,2013,McLaughlin,2,2011,2,7,S,No,NtE,6,10,0,0,10,60,0,3,16,73,89,,,,,,
STG,369,2013,McLaughlin,2,2011,2,7,S,No,tE,0,0,0,0,10,50,0,10,0,70,70,,,,,,
STG,370,2013,McLaughlin,2,2011,2,7,S,No,NttE,4,16,1,0,5,50,0,0,21,55,76,,,,,,
STG,371,2013,McLaughlin,2,2011,3,3,N,Fall 2011 1.25cm,N,2,8,2,0,10,50,0,0,12,60,72,,,,,,
