"Bar.action","undLac.action","uncLac.action","Oth.action","Bla.action","undMol.action","Akk.action","Cop.action","Clodif.action","Ent.action","undEnt.action","environment.initial","Bar.outcome","undLac.outcome","uncLac.outcome","Oth.outcome","Bla.outcome","undMol.outcome","Akk.outcome","Cop.outcome","Clodif.outcome","Ent.outcome","undEnt.outcome","diversity.desirability"
0,1,1,0,0,1,0,0,0,0,0,0,0,9.43838768014913e-133,2.99696410222578,0,0,1.21031457190054,0,0,0,0,0,0.600053680751728
1,1,1,0,0,1,0,0,0,0,0,0,8.03853996554332e+74,0,1.23850400717486e+75,0,0,6.36408026787861e+73,0,0,0,0,0,0.785572859323328
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.723289691988043,0,1.49046283171866,0,0,0,0,0,0.631835490307639
1,0,0,1,0,1,0,0,0,0,0,0,1.49259291114386,0,0,0.423467333286121,0,1.4044181828642,0,0,0,0,0,0.986012649777134
0,1,0,1,0,1,0,0,0,0,0,0,0,2.73754791120529,0,0.209369608941227,0,1.39771092923218,0,0,0,0,0,0.80202379335492
1,1,0,1,0,1,0,0,0,0,0,0,2.37211935556954,4.64302289696155,0,7.32307096520576e-215,0,1.52204054520382,0,0,0,0,0,0.994511671196253
0,0,1,1,0,1,0,0,0,0,0,0,0,0,2.9507252952791,0.219086086563431,0,1.32299825697531,0,0,0,0,0,0.783438916612437
1,0,1,1,0,1,0,0,0,0,0,0,6.07581561859933e+103,0,9.3610556428726e+103,0,0,4.81019917240426e+102,0,0,0,0,0,0.785572859323329
0,1,1,1,0,1,0,0,0,0,0,0,0,2.3158556364019e-119,2.9507252952791,0.219086086563431,0,1.32299825697531,0,0,0,0,0,0.783438916612437
1,1,1,1,0,1,0,0,0,0,0,0,4.51260892066545e+103,0,6.95261111472188e+103,0,0,3.5726146180477e+102,0,0,0,0,0,0.785572859323328
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1.43148872821817,1.16837944073174,0,0,0,0,0,0.688017581286898
1,0,0,0,1,1,0,0,0,0,0,0,1.77039792585631e-10,0,0,0,1.43148872818437,1.16837944073907,0,0,0,0,0,0.688017582903772
0,1,0,0,1,1,0,0,0,0,0,0,0,2.04821804239536,0,0,0.93161674630575,1.28021509005027,0,0,0,0,0,1.04581835901435
1,1,0,0,1,1,0,0,0,0,0,0,2.37211935556954,4.64302289696155,0,0,7.84073700030987e-45,1.52204054520382,0,0,0,0,0,0.994511671196253
0,0,1,0,1,1,0,0,0,0,0,0,0,0,2.98453181705834,0,0.761027374919087,1.23907860988407,0,0,0,0,0,0.940071996900747
1,0,1,0,1,1,0,0,0,0,0,0,6.95072323920153e+73,0,1.07090325126382e+74,0,0,5.50286007206475e+72,0,0,0,0,0,0.785572859323323
0,1,1,0,1,1,0,0,0,0,0,0,0,1.17259166028657e-148,2.98453181705834,0,0.761027374919087,1.23907860988407,0,0,0,0,0,0.940071996900747
1,1,1,0,1,1,0,0,0,0,0,0,2.87928575647514e+103,0,4.43613761016464e+103,0,0,2.27951913493149e+102,0,0,0,0,0,0.785572859323334
0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.635425511116064,1.35180434737706,1.49647873977275,0,0,0,0,0,1.04067457761855
1,0,0,1,1,1,0,0,0,0,0,0,0.47175439271301,0,0,0.545686386810408,1.27451191721648,1.46893917933878,0,0,0,0,0,1.27438595771571
0,1,0,1,1,1,0,0,0,0,0,0,0,2.35098508920747,0,0.228047666631479,0.829127899776424,1.41449806273568,0,0,0,0,0,1.15700889768498
1,1,0,1,1,1,0,0,0,0,0,0,2.37211935556954,4.64302289696155,0,2.1555652752977e-218,3.56847022813494e-45,1.52204054520382,0,0,0,0,0,0.994511671196253
0,0,1,1,1,1,0,0,0,0,0,0,0,0,2.94869453739773,0.170837263001766,0.747654518719693,1.32644078206037,0,0,0,0,0,1.06132539272583
1,0,1,1,1,1,0,0,0,0,0,0,5.63118235691596e+104,0,8.67600577227639e+104,0,0,4.45818477933719e+103,0,0,0,0,0,0.785572859323336
0,1,1,1,1,1,0,0,0,0,0,0,0,9.09029149940075e-139,2.94869453739773,0.170837263001766,0.747654518719693,1.32644078206037,0,0,0,0,0,1.06132539272583
1,1,1,1,1,1,0,0,0,0,0,0,4.30002974358312e+105,0,6.62508874898503e+105,0,0,3.4043165251067e+104,0,0,0,0,0,0.785572859323332
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.189458924447378,0,0,0,0,0
1,0,0,0,0,0,1,0,0,0,0,0,1.79406317020861,0,0,0,0,0,9.58585172723743e-293,0,0,0,0,3.59580543126783e-290
0,1,0,0,0,0,1,0,0,0,0,0,0,2.95766993993707,0,0,0,0,1.48219693752374e-323,0,0,0,0,3.67584840505887e-321
1,1,0,0,0,0,1,0,0,0,0,0,3.75682052932352,6.4819680278804,0,0,0,0,0,0,0,0,0,0.657296306515076
0,0,1,0,0,0,1,0,0,0,0,0,0,0,3.50423145050186,0,0,0,9.88131291682493e-324,0,0,0,0,3.67584840505887e-321
1,0,1,0,0,0,1,0,0,0,0,0,1.94112523737809e+74,0,2.94748810754107e+74,0,0,0,0,0,0,0,0,0.671806056515166
0,1,1,0,0,0,1,0,0,0,0,0,0,1.25872819800765e-154,3.50423145050186,0,0,0,9.88131291682493e-324,0,0,0,0,1.27740251307897e-152
1,1,1,0,0,0,1,0,0,0,0,0,2.97247362730183e+103,0,4.51353189260773e+103,0,0,0,0,0,0,0,0,0.671806056515164
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.68348047141304,0,0,0.0737283850409254,0,0,0,0,0.319262479732808
1,0,0,1,0,0,1,0,0,0,0,0,2.05840496549528,0,0,0.24207634120881,0,0,2.47032822920623e-323,0,0,0,0,0.336421715024481
0,1,0,1,0,0,1,0,0,0,0,0,0,3.06280969210226,0,0.0798386201737919,0,0,1.48219693752374e-323,0,0,0,0,0.118386826534152
1,1,0,1,0,0,1,0,0,0,0,0,3.75682052932352,6.4819680278804,0,1.97626258336499e-323,0,0,0,0,0,0,0,NA
0,0,1,1,0,0,1,0,0,0,0,0,0,0,3.50450545882355,0.0606863667341501,0,0,-9.88131291682493e-324,0,0,0,0,0.0862107615057869
1,0,1,1,0,0,1,0,0,0,0,0,9.44628132968497e+26,0,1.43436401441783e+27,0,0,0,1.44595377712783e-08,0,0,0,0,0.671806056515165
0,1,1,1,0,0,1,0,0,0,0,0,0,2.13513758566322e-153,3.50450545882355,0.0606863667341501,0,0,9.88131291682493e-324,0,0,0,0,0.0862107615057869
1,1,1,1,0,0,1,0,0,0,0,0,5.49548877171262e+104,0,8.34458667985141e+104,0,0,0,0,0,0,0,0,0.671806056515165
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1.00056450930029,0,8.62155521904574e-121,0,0,0,0,2.38216260139e-118
1,0,0,0,1,0,1,0,0,0,0,0,1.11328578973297,0,0,0,0.775245822482141,0,1.92685601878086e-321,0,0,0,0,0.677040701774425
0,1,0,0,1,0,1,0,0,0,0,0,0,2.83467550777228,0,0,0.251670587576603,0,1.48219693752374e-323,0,0,0,0,0.282522357086453
1,1,0,0,1,0,1,0,0,0,0,0,3.75682052932352,6.4819680278804,0,0,1.97626258336499e-323,0,0,0,0,0,0,NA
0,0,1,0,1,0,1,0,0,0,0,0,0,0,3.50414098763227,0,0.182760175104084,0,9.88131291682493e-324,0,0,0,0,0.197247571060585
1,0,1,0,1,0,1,0,0,0,0,0,4.34377618075918e+73,0,6.59577671139941e+73,0,0,0,0,0,0,0,0,0.671806056515164
0,1,1,0,1,0,1,0,0,0,0,0,0,1.89718942711632e-161,3.50414098763227,0,0.182760175104084,0,9.88131291682493e-324,0,0,0,0,0.197247571060585
1,1,1,0,1,0,1,0,0,0,0,0,1.73608717976715e+104,0,2.63614949591304e+104,0,0,0,4.94065645841247e-324,0,0,0,0,NA
0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0.596733784094663,0.812090348471048,0,4.01023813564322e-132,0,0,0,0,0.681417756465939
1,0,0,1,1,0,1,0,0,0,0,0,1.60319618456643,0,0,0.294186773143698,0.583175696945677,0,1.97626258336499e-323,0,0,0,0,0.875317595002589
0,1,0,1,1,0,1,0,0,0,0,0,0,2.97610741323815,0,0.0837181991099868,0.187863839342068,0,1.48219693752374e-323,0,0,0,0,0.33918461311198
1,1,0,1,1,0,1,0,0,0,0,0,3.75682052932352,6.4819680278804,0,1.97626258336499e-323,1.97626258336499e-323,0,0,0,0,0,0,NA
0,0,1,1,1,0,1,0,0,0,0,0,0,0,3.50437374395616,0.0498190927017857,0.166970844527518,0,9.88131291682493e-324,0,0,0,0,0.253552650650728
1,0,1,1,1,0,1,0,0,0,0,0,4.33058421544327e+103,0,6.57574546347422e+103,0,0,0,-4.94065645841247e-324,0,0,0,0,0.671806056515164
0,1,1,1,1,0,1,0,0,0,0,0,0,8.22899283682511e-158,3.50437374395616,0.0498190927017857,0.166970844527518,0,9.88131291682493e-324,0,0,0,0,0.253552650650728
1,1,1,1,1,0,1,0,0,0,0,0,1.15972739819104e+27,4.94065645841247e-324,1.76097999672334e+27,0,0,0,-1.10204004506215e-07,0,0,0,0,NA
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1.1057577893107,0.0204031146282261,0,0,0,0,0.0906190669238554
1,0,0,0,0,1,1,0,0,0,0,0,1.15875489248297,0,0,0,0,1.16802443102601,6.87255873636272e-248,0,0,0,0,0.693139245010709
0,1,0,0,0,1,1,0,0,0,0,0,0,2.50579461972553,0,0,0,1.27377592950788,1.48219693752374e-323,0,0,0,0,0.639036371914396
1,1,0,0,0,1,1,0,0,0,0,0,2.37211935556954,4.64302289696155,0,0,0,1.52204054520382,4.94065645841247e-324,0,0,0,0,NA
0,0,1,0,0,1,1,0,0,0,0,0,0,0,2.99696410222578,0,0,1.21031457190054,9.88131291682493e-324,0,0,0,0,NA
1,0,1,0,0,1,1,0,0,0,0,0,9.58717223759283e+73,0,1.47710296703508e+74,0,0,7.59012630695926e+72,0,0,0,0,0,0.785572859323324
0,1,1,0,0,1,1,0,0,0,0,0,0,9.66401558542983e-133,2.99696410222578,0,0,1.21031457190054,9.88131291682493e-324,0,0,0,0,NA
1,1,1,0,0,1,1,0,0,0,0,0,1.07130102813471e+74,0,1.6505616964308e+74,0,0,8.48144782925164e+72,0,0,0,0,0,0.785572859323336
0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0.723289691988043,0,1.49046283171865,2.56291078937447e-86,0,0,0,0,0.63183549030764
1,0,0,1,0,1,1,0,0,0,0,0,1.49259291114385,0,0,0.423467333286121,0,1.4044181828642,2.47032822920623e-323,0,0,0,0,0.986012649777134
0,1,0,1,0,1,1,0,0,0,0,0,0,2.73754791120529,0,0.209369608941227,0,1.39771092923218,1.48219693752374e-323,0,0,0,0,0.80202379335492
1,1,0,1,0,1,1,0,0,0,0,0,2.37211935556954,4.64302289696155,0,8.17149328158521e-215,0,1.52204054520382,4.94065645841247e-324,0,0,0,0,NA
0,0,1,1,0,1,1,0,0,0,0,0,0,0,2.9507252952791,0.219086086563431,0,1.32299825697531,9.88131291682493e-324,0,0,0,0,NA
1,0,1,1,0,1,1,0,0,0,0,0,1.10580797239204e+74,0,1.7037268096494e+74,0,0,8.75463794087997e+72,0,0,0,0,0,0.785572859323324
0,1,1,1,0,1,1,0,0,0,0,0,0,2.50187917658281e-119,2.9507252952791,0.219086086563431,0,1.32299825697531,9.88131291682493e-324,0,0,0,0,NA
1,1,1,1,0,1,1,0,0,0,0,0,1.28096788327523e+74,0,1.97359702545368e+74,0,0,1.01413720211417e+73,0,0,0,0,0,0.785572859323336
0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1.43148872821817,1.16837944073174,1.05127335798158e-300,0,0,0,0,0.688017581286898
1,0,0,0,1,1,1,0,0,0,0,0,1.75041015147805e-10,0,0,0,1.43148872818476,1.16837944073899,2.42159175716201e-313,0,0,0,0,0.688017582886282
0,1,0,0,1,1,1,0,0,0,0,0,0,2.04821804239536,0,0,0.93161674630575,1.28021509005027,1.48219693752374e-323,0,0,0,0,1.04581835901435
1,1,0,0,1,1,1,0,0,0,0,0,2.37211935556954,4.64302289696155,0,0,8.86753933401227e-45,1.52204054520382,0,0,0,0,0,0.994511671196253
0,0,1,0,1,1,1,0,0,0,0,0,0,0,2.98453181705834,0,0.761027374919087,1.23907860988407,9.88131291682493e-324,0,0,0,0,NA
1,0,1,0,1,1,1,0,0,0,0,0,5.03402840599017e+73,0,7.7559661079939e+73,0,0,3.98542036039188e+72,0,0,0,0,0,0.785572859323323
0,1,1,0,1,1,1,0,0,0,0,0,0,1.17275661821109e-148,2.98453181705834,0,0.761027374919087,1.23907860988407,9.88131291682493e-324,0,0,0,0,NA
1,1,1,0,1,1,1,0,0,0,0,0,3.42214131944251e+74,0,5.27251933238559e+74,0,0,2.70929573508485e+73,0,0,0,0,0,0.785572859323328
0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.635425511116064,1.35180434737706,1.49647873977275,2.47032822920623e-323,0,0,0,0,1.04067457761855
1,0,0,1,1,1,1,0,0,0,0,0,0.47175439271301,0,0,0.545686386810408,1.27451191721648,1.46893917933878,1.97626258336499e-323,0,0,0,0,1.27438595771571
0,1,0,1,1,1,1,0,0,0,0,0,0,2.35098508920747,0,0.228047666631479,0.829127899776424,1.41449806273568,9.88131291682493e-324,0,0,0,0,NA
1,1,0,1,1,1,1,0,0,0,0,0,2.37211935556954,4.64302289696155,0,2.74588381159434e-218,3.76740633008226e-45,1.52204054520382,0,0,0,0,0,0.994511671196253
0,0,1,1,1,1,1,0,0,0,0,0,0,0,2.94869453739773,0.170837263001766,0.747654518719693,1.32644078206037,9.88131291682493e-324,0,0,0,0,NA
1,0,1,1,1,1,1,0,0,0,0,0,7.63963236714477e+73,0,1.17704400806724e+74,0,0,6.04826670141575e+72,0,0,0,0,0,0.785572859323328
0,1,1,1,1,1,1,0,0,0,0,0,0,9.52455096672794e-139,2.94869453739773,0.170837263001766,0.747654518719693,1.32644078206037,9.88131291682493e-324,0,0,0,0,NA
1,1,1,1,1,1,1,0,0,0,0,0,1.17938311737767e+74,0,1.81708459885462e+74,0,0,9.33712945105131e+72,0,0,0,0,0,0.785572859323333
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.190781005792038,0,0,0,0
1,0,0,0,0,0,0,1,0,0,0,0,1.7835597612036,0,0,0,0,0,0,0.0302409502430464,0,0,0,0.0847906647803667
0,1,0,0,0,0,0,1,0,0,0,0,0,2.95766993993707,0,0,0,0,0,6.76599695867924e-169,0,0,0,8.88300618130472e-167
1,1,0,0,0,0,0,1,0,0,0,0,3.75682052932352,6.4819680278804,0,0,0,0,0,4.94065645841247e-324,0,0,0,NA
0,0,1,0,0,0,0,1,0,0,0,0,0,0,3.50423145050186,0,0,0,0,9.88131291682493e-324,0,0,0,3.67584840505887e-321
1,0,1,0,0,0,0,1,0,0,0,0,4.0712320200343e+73,0,6.18193392730305e+73,0,0,0,0,0,0,0,0,0.671806056515163
0,1,1,0,0,0,0,1,0,0,0,0,0,1.14257154093865e-154,3.50423145050186,0,0,0,0,9.88131291682493e-324,0,0,0,1.15983825965857e-152
1,1,1,0,0,0,0,1,0,0,0,0,1.93297075455501e+103,0,2.93510598984908e+103,0,0,0,0,-4.94065645841247e-324,0,0,0,0.671806056515165
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.624625314215919,0,0,0,0.0458227958619535,0,0,0,0.249340757374979
1,0,0,1,0,0,0,1,0,0,0,0,2.05840496549527,0,0,0.24207634120881,0,0,0,4.37971362876167e-98,0,0,0,0.336421715024481
0,1,0,1,0,0,0,1,0,0,0,0,0,3.06280969210226,0,0.0798386201737919,0,0,0,1.62942053750611e-227,0,0,0,0.118386826534152
1,1,0,1,0,0,0,1,0,0,0,0,3.75682052932352,6.4819680278804,0,1.97626258336499e-323,0,0,0,4.94065645841247e-324,0,0,0,NA
0,0,1,1,0,0,0,1,0,0,0,0,0,0,3.50450545882355,0.0606863667341501,0,0,0,9.88131291682493e-324,0,0,0,0.0862107615057869
1,0,1,1,0,0,0,1,0,0,0,0,4.78061252362138e+73,0,7.2590878160797e+73,0,0,0,0,0,0,0,0,0.671806056515164
0,1,1,1,0,0,0,1,0,0,0,0,0,1.81177692851192e-153,3.50450545882355,0.0606863667341501,0,0,0,9.88131291682493e-324,0,0,0,0.0862107615057869
1,1,1,1,0,0,0,1,0,0,0,0,1.24937121681525e+104,0,1.89709902924198e+104,0,0,0,0,-5.11117102028301e-266,0,0,0,0.671806056515165
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.79327669333716,0,0,0.291723769360175,0,0,0,0.582131393295289
1,0,0,0,1,0,0,1,0,0,0,0,1.16965645329833,0,0,0,0.644784752052012,0,0,0.167546502261162,0,0,0,0.885403425715453
0,1,0,0,1,0,0,1,0,0,0,0,0,2.83467550777228,0,0,0.251670587576603,0,0,1.23822986187814e-89,0,0,0,0.282522357086453
1,1,0,0,1,0,0,1,0,0,0,0,3.75682052932352,6.4819680278804,0,0,1.97626258336499e-323,0,0,4.94065645841247e-324,0,0,0,NA
0,0,1,0,1,0,0,1,0,0,0,0,0,0,3.50414098763227,0,0.182760175104084,0,0,9.88131291682493e-324,0,0,0,0.197247571060585
1,0,1,0,1,0,0,1,0,0,0,0,5.6962717464221e+73,0,8.64946419046102e+73,0,0,0,0,0,0,0,0,0.671806056515162
0,1,1,0,1,0,0,1,0,0,0,0,0,1.77217409243252e-161,3.50414098763227,0,0.182760175104084,0,0,9.88131291682493e-324,0,0,0,0.197247571060585
1,1,1,0,1,0,0,1,0,0,0,0,7.99525550727124e+73,0,1.21403400824693e+74,0,0,0,0,0,0,0,0,0.671806056515167
0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.513073706056409,0.722254376938896,0,0,0.163616155580473,0,0,0,0.960175358032711
1,0,0,1,1,0,0,1,0,0,0,0,1.5810145889986,0,0,0.269431610053396,0.55526529361031,0,0,0.0566009686694241,0,0,0,0.949162940439405
0,1,0,1,1,0,0,1,0,0,0,0,0,2.97610741323815,0,0.0837181991099868,0.187863839342068,0,0,4.94268112250789e-168,0,0,0,0.33918461311198
1,1,0,1,1,0,0,1,0,0,0,0,3.75682052932352,6.4819680278804,0,1.97626258336499e-323,1.97626258336499e-323,0,0,4.94065645841247e-324,0,0,0,NA
0,0,1,1,1,0,0,1,0,0,0,0,0,0,3.50437374395616,0.0498190927017857,0.166970844527518,0,0,9.88131291682493e-324,0,0,0,0.253552650650728
