"BH.action","CA.action","BU.action","PC.action","BO.action","BV.action","BT.action","EL.action","FP.action","CH.action","DP.action","ER.action","environment.initial","BH.outcome","CA.outcome","BU.outcome","PC.outcome","BO.outcome","BV.outcome","BT.outcome","EL.outcome","FP.outcome","CH.outcome","DP.outcome","ER.outcome","diversity.desirability"
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.659424285871842,0,5.21621166515017e-19,0,0,0,0,0,0,0,3.29706836782829e-17
1,0,1,0,1,0,0,0,0,0,0,0,0,0.269028304960306,0,0.578778061306843,0,5.82644168617363e-08,0,0,0,0,0,0,0,0.624836138805883
0,1,1,0,1,0,0,0,0,0,0,0,0,0,2.29522919209021e-28,0.659424285871842,0,5.68887533669921e-19,0,0,0,0,0,0,0,3.58834691407056e-17
1,1,1,0,1,0,0,0,0,0,0,0,0,0.269028305513977,1.17875955174633e-24,0.578778058606237,0,6.17401040616679e-08,0,0,0,0,0,0,0,0.624836204856099
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.455610365981246,0.313484039386861,0,0,0,0,0,0,0,0.675973680755316
1,0,0,1,1,0,0,0,0,0,0,0,0,0.318037733340556,0,0,0.364376436020597,0.327136202488417,0,0,0,0,0,0,0,1.0968574957277
0,1,0,1,1,0,0,0,0,0,0,0,0,0,1.56236554425507e-51,0,0.455610365981246,0.313484039386861,0,0,0,0,0,0,0,0.675973680755316
1,1,0,1,1,0,0,0,0,0,0,0,0,0.318037733340556,4.65072349501406e-48,0,0.364376436020597,0.327136202488417,0,0,0,0,0,0,0,1.0968574957277
0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.226770844057059,0.406333560902348,0.0949530061356998,0,0,0,0,0,0,0,0.954470876343146
1,0,1,1,1,0,0,0,0,0,0,0,0,0.311627547956013,0,0.0440743573665133,0.35665672546912,0.284358121532659,0,0,0,0,0,0,0,1.22697917618993
0,1,1,1,1,0,0,0,0,0,0,0,0,0,1.00070498396248e-59,0.226770911352503,0.406333576647465,0.0949528962279135,0,0,0,0,0,0,0,0.954470724487974
1,1,1,1,1,0,0,0,0,0,0,0,0,0.311625652040906,2.22874227335528e-50,0.0440865991543425,0.356654975505812,0.284345655411926,0,0,0,0,0,0,0,1.22700253864107
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.297225572979494,0,0,0,0,0,0,0
