"","Experimenta_plot","T_repens","T_pratense","P_trivialis","P_pratense","G_pratense","D_glomerata","A_elatius","A_sylvestris","A_pratensis","NEWSPS"
"190","B4B068",0,0,0,1,0,1,0,1,0,0
"191","B4B069",1,1,0,0,0,1,1,0,0,0
"192","B4B072",0,0,1,1,0,0,1,1,0,0
"193","B4B074",0,0,0,1,0,1,1,0,1,0
"194","B4B076",1,1,0,0,0,0,0,0,0,0
"195","B4B077",1,0,1,0,0,0,1,0,1,0
"196","B4B078",1,0,0,0,1,0,1,1,0,0
"197","B4B080",1,1,1,1,1,1,1,1,1,0
"198","B4B082",0,1,0,1,1,1,0,1,1,0
"199","B4B085",0,1,0,0,0,0,1,0,1,0
"200","B4B088",1,1,1,0,0,1,0,1,1,0
"201","B4B090",0,1,0,0,0,1,0,0,1,0
"202","B4B091",0,0,0,0,0,0,0,0,1,0
"203","B4B092",1,0,0,0,0,0,0,1,1,0
"204","B4B093",0,0,1,0,1,1,1,1,1,0
"205","B4B095",0,0,1,1,0,1,0,1,0,0
"206","B4B097",1,1,1,1,1,0,0,0,1,0
