"","Experimenta_plot","month","T_repens","T_pratense","P_trivialis","P_pratense","G_pratense","D_glomerata","A_elatius","A_sylvestris","A_pratensis","NEWSPS"
"89","B1B091","May",0,0,15,0,66.8,0,0,0,0,31.07
"90","B1B091","August",0,0,0,0,67.7,0,0,0,0,0.81
"91","B1B092","May",0,0,0,0,0,0,325.7,0.08,0,19.1
"92","B1B092","August",0,0,0,0,0,0,83,0,0,1.13
"93","B1B095","May",0,0,0,0,0,39,110.3,0,0,11.09
"94","B1B095","August",0,0,0,0,0,37.42,0,0,0,0.04
"95","B2B001","May",0,0,7.9,0,0,68,0,0,0,17.5
"96","B2B001","August",0,0,0.39,0,0,25.82,0,0,0,29.53
"97","B2B002","May",0,0,25.8,0,35,7.6,158.2,0,8.5,0
"98","B2B002","August",0,0,0.58,0,31.1,9.7,60,0,4.32,1.78
"99","B2B005","May",5.21,0,0,0,62.6,0,0,0,0,3.41
"100","B2B005","August",0,0,0,0,0,0,0,0,0,2.99
"101","B2B007","May",0,0,0,0,0,0,0,0,189.3,6.57
"102","B2B007","August",0,0,0,0,0,0,0,0,94.1,5.4
"103","B2B010","May",0,0,0,0,48.7,0,0,0,0,7.09
"104","B2B010","August",0,0,0,0,0,0,0,0,0,42.5
"105","B2B012","May",0,71.1,0,0,0.3,258.2,0,0,0,3.59
"106","B2B012","August",0,1.18,0,0,0,113,0,0,0,0
"107","B2B013","May",4.2,0,74.7,0,0,0,0,0,0,3.72
"108","B2B013","August",0,0,0,0,0,0,0,0,0,31.3
"109","B2B015","May",0,0,0,0,0,0,0,0,309.4,0
"110","B2B015","August",0,0,0,0,0,0,0,0,63.2,0.7
"111","B2B018","May",0,0,0,0,0,0,0,0,0,5.42
"112","B2B018","August",0,0,0,0,0,0,0,0,0,22
"113","B2B019","May",0,0,0,0,0,0,145,0,0,0.35
"114","B2B019","August",0,0,0,0,0,0,96,0,0,11.98
"115","B2B023","May",0,0,0,0,58.2,0,0,0,0,21.2
"116","B2B023","August",0,0,0,0,72.2,0,0,0,0,9.96
"117","B2B024","May",0,0,6.33,0,0,0,253.7,0,0,28.1
"118","B2B024","August",0,0,0,0,0,0,125.7,0,0,1.69
"119","B2B025","May",0,0,0,0,0,0,343.2,0,0,0.2
"120","B2B025","August",0,0,0,0,0,0,192.5,0,0,0.53
"121","B2B026","May",0,0,0,0,0,0,0,0,129.2,3.71
"122","B2B026","August",0,0,0.17,0,0,0,0,0,46,2.59
"123","B2B027","May",0,0,0,0,0,52.9,152.7,0,0,3.4
"124","B2B027","August",0,0,0,0,0,17.42,134,0,0,7.44
"125","B2B032","May",0,0,27.5,0,38.7,0.17,0,0,0,6.92
"126","B2B032","August",0,0,0,0,48.7,58,0,0,0,13.47
"127","B2B035","May",0,0,142.7,0,0,0,0,0,0,5.84
"128","B2B035","August",0,0,0.002,0,0,0,0,0,0,43.1
"129","B2B036","May",0,16.4,10.52,0,17.6,58.5,179.8,0,0,1.93
"130","B2B036","August",0,1.09,0.19,0,0,34.3,28.28,0,0,2.96
"131","B2B039","May",0,0,0,0,5.17,0,150,0,32.2,1.31
"132","B2B039","August",0,0,0,0,6.77,0,30.53,0,16.35,0
"133","B2B040","May",0,0,0,0,0,140,0,0,0,5.32
"134","B2B040","August",0,0,0,0,3.67,27.7,0,0,0,0.12
"135","B2B044","May",0,0,0,0,0,0,0,0,0,42.6
"136","B2B044","August",0,0,0,0,0,0,0,0,0,30.7
"137","B2B046","May",0,0,0,0,152.5,0,0,0,0,1.39
"138","B2B046","August",0,0,0,0,165.1,0,0,0,0,4.68
"139","B2B051","May",0,0,2.65,0,0,343.2,0,0,0,15.2
"140","B2B051","August",0,0,0.06,0,0,93.5,0,0,0,10.22
"141","B2B053","May",0,0,0,0,0,62.8,0,0,0,10.8
"142","B2B053","August",0,0,0,0,0,42.3,0,0,0,13.19
"143","B2B054","May",0,0,12,0,0,143.2,0,0,0,36.9
"144","B2B054","August",0,0,0.09,0,0,61.5,0,0,0,0.07
"145","B2B055","May",0,0.69,0,0,76,42.7,0,0,7.7,9.6
"146","B2B055","August",0,0,0,0,49,11.82,0,0,0,5.05
"147","B2B060","May",0,0,0,4.97,31.7,0,116.5,0,5.57,6.31
"148","B2B060","August",0,0,0,0,24,0,76.7,0,3.08,9.42
"149","B2B063","May",0,0,0,10.37,0,0,0,0,300.7,1.2
"150","B2B063","August",0,0,0,8,0,0,0,0,72.8,4.54
"151","B2B064","May",0,57,10.25,0,0,40.3,320,0,14.76,0
"152","B2B064","August",0,0,0,0.51,0,7.22,82.2,0,0.73,0
"153","B2B065","May",0,0,8.1,0,36,90.1,183.7,0,86,1.97
"154","B2B065","August",0,0,0.09,0,78,65,2,0,0,0
"155","B2B067","May",0,0,0,0,0,0,443.9,0,0,0.6
"156","B2B067","August",0,0,0,0,9,0,70,0,0,0
"157","B2B068","May",0,0,2.64,0,0,0,0,0,102.8,0
"158","B2B068","August",0,0,0.02,0,0,0,0,0,29.43,7.73
"159","B2B069","May",0,174.2,47.5,0,0,0,0,0,0,1.27
