"TREP.action","TPRA.action","PTRI.action","PPRA.action","GPRA.action","DGLO.action","AELA.action","ASYL.action","APRA.action","NEWSPS.action","month.initial","TREP.outcome","TPRA.outcome","PTRI.outcome","PPRA.outcome","GPRA.outcome","DGLO.outcome","AELA.outcome","ASYL.outcome","APRA.outcome","NEWSPS.outcome","diversity.desirability"
0,1,0,0,1,0,1,1,0,0,"August",0,0,0,0,38.24,0,9.89,0,0,5.8,0.794644061690027
0,1,0,0,0,0,0,0,1,0,"May",0,6.47,0,0,0,0,0,0,46.2,27.3,0.887312398862477
0,1,0,0,0,0,0,0,1,0,"August",0,0,0,0,0,0,0,0,39.68,6.78,0.415587316719573
0,1,1,0,0,0,0,0,0,0,"May",0,0,248.7,0,0,0,0,0,0,6.4,0.117229818465572
0,1,1,0,0,0,0,0,0,0,"August",0,0,0.69,0,0,0,0,0,0,26.35,0.118798201405623
0,0,0,0,1,0,1,0,1,0,"May",0,0,0,0,10.33,0,198.3,0,13.55,42.4,0.788362509112335
0,0,0,0,1,0,1,0,1,0,"August",0,0,0,0,0.12,0,40.5,0,1.09,1.25,0.268156753383629
0,0,0,0,1,0,1,0,0,0,"May",0,0,0,0,36.5,0,110.5,0,0,13.7,0.804091634366722
0,0,0,0,1,0,1,0,0,0,"August",0,0,0,0,159.6,0,27.39,0,0,0.97,0.446728903649657
0,1,0,0,1,1,0,0,0,0,"May",0,50.3,0,0,45.5,318.3,0,0,0,25,0.879501583317966
0,1,0,0,1,1,0,0,0,0,"August",0,0,0,0,19.93,24.5,0,0,0,12.03,1.05928476606253
1,1,1,1,1,1,1,1,1,0,"May",0,8.11,67.3,0,32.7,18.3,263.4,0,0,2.99,1.03728859681606
1,1,1,1,1,1,1,1,1,0,"August",0,0,0.2,0,209.5,2.57,19.14,0,1.2,0,0.382773504278738
0,1,1,0,1,0,0,0,1,0,"May",0,8,87.8,0,50.1,0,0,0,26.1,112.9,1.35450038508926
0,1,1,0,1,0,0,0,1,0,"August",0,0,0,0,96.3,0,0,0,1.29,8.36,0.340854967460297
0,0,0,0,0,1,1,0,0,0,"May",0,0,0,0,0,5.25,327.2,0,0,13.8,0.245424875433056
0,0,0,0,0,1,1,0,0,0,"August",0,0,0,0,0,18.74,66.5,0,0,0.1,0.535180369421028
0,0,0,0,0,0,0,1,1,0,"May",0,0,0,0,0,0,0,0,217,246.47,0.69112425432494
0,0,0,0,0,0,0,1,1,0,"August",0,0,0,0,0,0,0,0,40.3,84.5,0.629048442694337
0,0,0,1,1,0,1,0,1,0,"May",0,0,0,0,20.3,0,0,0,0,6.44,0.552043601400129
0,0,0,1,1,0,1,0,1,0,"August",0,0,0,0,68.7,0,70.2,0,0,0.12,0.699443086070625
0,0,0,0,1,1,0,1,1,0,"May",0,0,0,0,10.16,95,0,1.94,49.8,37.7,1.21690306128477
0,0,0,0,1,1,0,1,1,0,"August",0,0,0,0,128.8,14.92,0,0,0.48,0.68,0.382768321693669
0,1,1,0,0,0,0,1,0,0,"May",0,100.8,52.1,0,0,0,0,0,0,63,1.05808663052093
0,1,1,0,0,0,0,1,0,0,"August",0,13.55,0,0,0,0,0,0,0,22.54,0.661792811717332
0,0,0,1,0,0,0,1,1,0,"May",0,0,0,22.7,0,0,0,3.56,187,37.18,0.779369715075117
0,0,0,1,0,0,0,1,1,0,"August",0,0,0,0,0,0,0,2.89,40.09,13.91,0.742404740596347
1,1,1,0,0,1,0,1,1,0,"May",0,0,2.55,0,0,61.8,0,0,21.14,50.4,1.09027320435488
1,1,1,0,0,1,0,1,1,0,"August",0,0,0,0,0,42,0,0,11.7,3.88,0.735704743101546
1,1,0,1,0,0,0,1,0,0,"May",0,145.2,0,0,0,0,0,0,0,29.6,0.454832403939413
1,1,0,1,0,0,0,1,0,0,"August",0,12.56,0,0,0,0,0,0,0,12.8,0.693102398870666
1,0,0,0,1,0,0,0,0,0,"May",27.5,0,0,0,36.1,0,0,0,0,17,1.05488432673117
1,0,0,0,1,0,0,0,0,0,"August",0,0,0,0,58.5,0,0,0,0,4.98,0.27496708248439
1,0,1,0,0,0,1,0,0,0,"May",0,0,8.7,0,0,0,196.8,0,0,13.8,0.399214334092558
1,0,1,0,0,0,1,0,0,0,"August",0,0,0,0,0,0,57.1,0,0,0,0
0,0,1,0,1,0,0,0,0,0,"May",0,0,15,0,66.8,0,0,0,0,31.07,0.933744641557056
0,0,1,0,1,0,0,0,0,0,"August",0,0,0,0,67.7,0,0,0,0,0.81,0.0642202638025986
0,0,0,0,0,0,1,1,0,0,"May",0,0,0,0,0,0,325.7,0.08,0,19.1,0.21622597807786
