"Tetra.action","Colp.action","Dexio.action","Loxo.action","Para.action","Spiro.action","temperature.initial","Tetra.outcome","Colp.outcome","Dexio.outcome","Loxo.outcome","Para.outcome","Spiro.outcome","diversity.desirability"
0,1,0,0,0,0,15,0,0.0217615472030183,0,0,0,0,0
0,1,0,0,0,0,15,0,0.0213135002396683,0,0,0,0,0
0,1,0,0,0,0,15,0,0.0522458425894001,0,0,0,0,0
0,1,0,0,0,0,17,0,0.0611929148822039,0,0,0,0,0
0,1,0,0,0,0,17,0,0.0505383750562475,0,0,0,0,0
0,1,0,0,0,0,17,0,0.0513014074957963,0,0,0,0,0
0,1,0,0,0,0,19,0,0,0,0,0,0,NA
0,1,0,0,0,0,19,0,0.0333455026137409,0,0,0,0,0
0,1,0,0,0,0,19,0,0.0326118526995611,0,0,0,0,0
0,1,0,0,0,0,21,0,0.0342170290646771,0,0,0,0,0
0,1,0,0,0,0,21,0,0.0180803650081144,0,0,0,0,0
0,1,0,0,0,0,21,0,0.032192839186764,0,0,0,0,0
0,1,0,0,0,0,23,0,0.00820834507922529,0,0,0,0,0
0,1,0,0,0,0,23,0,0.00790031132944143,0,0,0,0,0
0,1,0,0,0,0,23,0,0.0132736735507718,0,0,0,0,0
0,1,0,0,0,0,25,0,0.0191630142001754,0,0,0,0,0
0,1,0,0,0,0,25,0,0.0401804348283298,0,0,0,0,0
0,1,0,0,0,0,25,0,0.00738834413147713,0,0,0,0,0
0,1,1,0,0,0,15,0,0.0638591535525917,0.00396337327784484,0,0,0,0.222646195786533
0,1,1,0,0,0,15,0,0.0633319323903526,0.00538443153940937,0,0,0,0.27473898087282
0,1,1,0,0,0,17,0,0.0362974081791147,0.00391547137059301,0,0,0,0.319262401625801
0,1,1,0,0,0,17,0,0.0313306671735597,0.00545977752518936,0,0,0,0.419927244391299
0,1,1,0,0,0,19,0,0.040987620916884,0.00896442270338841,0,0,0,0.470574551679619
0,1,1,0,0,0,19,0,0.0443049941040109,0.00519034310588137,0,0,0,0.335643461993296
0,1,1,0,0,0,21,0,0.0532078171325358,0.00193502501362241,0,0,0,0.15201663667969
0,1,1,0,0,0,21,0,0.0317244029636638,0.00603900486377453,0,0,0,0.439531956142759
0,1,1,0,0,0,23,0,0.0367385816983184,0.000312590347561189,0,0,0,0.0486877302019549
0,1,1,0,0,0,23,0,0.0434932790743227,0.00163337761274567,0,0,0,0.155658447929346
0,1,1,0,0,0,25,0,0.00417072222677593,0.0029083747213504,0,0,0,0.677162744703203
0,1,1,0,0,0,25,0,0.0122293698196163,0.00112388395664267,0,0,0,0.288827033315429
0,1,1,1,1,0,15,0,0.0155336818414782,0.000618365819652758,0.0161208775203936,0.0666629953619863,0,0.884081188911887
